Unnamed: 0,time,kper,kstp,time.1,pk4head,confhead,awswhead,pwswhead,springhead,awgwhead,pwgwhead,pk4confdiff,pk4springdiff,pk4awswdiff,pk4pwswdiff,pk4awgwdiff,pk4pwgwdiff,awswgwdiff,pwswgwdiff,firstnegday,springcum,springq,pwtot,pwcum,pwq,awcum,awq,awtot
14,15.0,2,14,15.0,7.658317905698501,13.31542105263158,7.75171425138201,8.079000465393065,7.571568488,13.858874105053529,13.903108146056288,-5.657103146933078,0.08674941769850175,6.140980953927842,5.813694739916787,0.0338211002563255,-0.0104129407464359,0,0,30,-150,-3,-2617.30478448,-347.11752876700604,-13.903108146056288,-48883.73877337714,-13.858874105053529,-51651.04355785714
15,16.0,2,15,16.0,7.648837318168901,13.266447368421051,7.740761870429629,8.078600465393064,7.568693247999999,13.735312738642577,13.77915812885026,-5.61761005025215,0.08014407016890246,6.028077716105531,5.690239121142096,0.0335268478925829,-0.0103185423150993,0,0,30,-150,-3,-2584.03596984,-344.02260182334214,-13.77915812885026,-46207.75535316,-13.735312738642577,-48941.791323
16,17.0,2,16,17.0,7.640327090639304,13.217473684210526,7.730428537096296,8.078200465393063,7.566058335999999,13.613127618801702,13.656588497713685,-5.577146593571222,0.07426875463930482,5.915934818607317,5.56816289031055,0.0332357369019113,-0.0102251420100696,0,0,30,-150,-3,-2550.7671552,-340.9621410647634,-13.656588497713685,-43713.94167291428,-13.613127618801702,-46414.708828114286
17,18.0,2,17,18.0,7.633700063109709,13.168500000000002,7.721095203762962,8.078000465393064,7.564369071999999,13.49230345546678,13.53538401483354,-5.534799936890293,0.06933099110970975,5.804156054863167,5.447250793233065,0.0329478031593506,-0.01013275620741,0,0,30,-150,-3,-2534.285214,-337.9357660355649,-13.53538401483354,-41483.87670531428,-13.49230345546678,-44168.16191931428
18,19.0,2,18,19.0,7.625187155580109,13.119526315789477,7.711190441858201,8.077800465393064,7.563020647999999,13.372825094734289,13.415529526118467,-5.494339160209368,0.06216650758010989,5.69429769757718,5.327687674042316,0.032663044701092,-0.0100413866830866,0,0,30,-150,-3,-2518.1081712,-334.9430985350682,-13.415529526118467,-39193.841110114285,-13.372825094734289,-41861.949281314286
19,20.0,2,19,20.0,7.621177048050513,13.070552631578948,7.701904727572487,8.077600465393065,7.561759551999999,13.254677540639616,13.297010011184948,-5.449375583528435,0.059417496050514274,5.585154255191107,5.209458517370528,0.0323814421239774,-0.009951028421355,0,0,30,-150,-3,-2501.9311284,-331.9837637129262,-13.297010011184948,-37056.15545091428,-13.254677540639616,-39708.08657931428
20,21.0,2,20,21.0,7.618600660520915,13.021578947368422,7.692571394239153,8.077200465393066,7.561156447999999,13.1378459623081,13.17981060359216,-5.402978286847507,0.057444212520915805,5.47737753609776,5.092748464943847,0.0321029680288127,-0.0098616732552461,0,0,30,-150,-3,-2469.0510169199997,-329.0573905274648,-13.17981060359216,-34904.990215080004,-13.1378459623081,-37524.041232
21,22.0,2,21,22.0,7.615627072991316,12.972605263157895,7.6859047275724866,8.077000465393066,7.558700672,13.022315695074246,13.063916598054124,-5.356978190166579,0.056926400991316406,5.368238558915291,4.977142821094711,0.0318275914135313,-0.0097733115663469,0,0,30,-150,-3,-2452.8739741199997,-326.1636119190588,-13.063916598054124,-33377.915771880005,-13.022315695074246,-35980.789746
22,23.0,2,22,23.0,7.605590005461722,12.923631578947369,7.679428537096296,8.076600465393065,7.556009423999999,12.908072239274652,12.949313452093492,-5.3180415734856465,0.04958058146172295,5.26019898190496,4.863027053608191,0.0315552797266036,-0.0096859330922356,0,0,30,-150,-3,-2419.99386264,-323.3020648577612,-12.949313452093492,-31924.70648221714,-12.908072239274652,-34494.70034485714
23,24.0,2,23,24.0,7.586313737932123,12.874657894736844,7.673523775191533,8.076400465393066,7.551595632,12.795101258249948,12.835986785396551,-5.288344156804721,0.03471810593212332,5.152863482896671,4.749986792695138,0.0312859998382553,-0.0095995273083477,0,0,30,-150,-3,-2403.29079396,-320.4723903361333,-12.835986785396551,-30585.544325468563,-12.795101258249948,-33138.835119428564
24,25.0,2,24,25.0,7.576426270402525,12.825684210526315,7.66823806090582,8.076200465393065,7.545791992,12.683388576296272,12.72392237843135,-5.24925794012379,0.030634278402525084,5.046170233915779,4.638207829428534,0.0310197185253269,-0.0095140836097513,0,0,30,-150,-3,-2386.5877252799996,-317.6742333420502,-12.72392237843135,-29390.030269577146,-12.683388576296272,-31926.617994857144
25,26.0,2,25,26.0,7.557137162872928,12.77671052631579,7.663571394239153,8.076000465393065,7.538130032,12.572920176434437,12.613106170534586,-5.219573363442863,0.019007130872927824,4.940105184884038,4.527676113730125,0.0307564026887536,-0.0094295914113953,0,0,30,-150,-3,-2370.4269426,-314.9072428173341,-12.613106170534586,-28463.6118534,-12.572920176434437,-30984.038796
26,27.0,2,26,27.0,7.54441433534333,12.727736842105264,7.658904727572486,8.075600465393064,7.529994536,12.463682198393007,12.503524258047548,-5.183322506761934,0.014419799343329487,4.835273490283609,4.418577752463031,0.0304960194630865,-0.0093460401914526,0,0,30,-150,-3,-2337.5630912399997,-312.1710716154756,-12.503524258047548,-27628.30003047428,-12.463682198393007,-30115.863121714283
27,28.0,2,27,28.0,7.530785667813733,12.678763157894736,7.654809489477248,8.075200465393065,7.519388864,12.355660936750008,12.39516289254877,-5.1479774900810025,0.011396803813733314,4.7310899835608655,4.310699007645049,0.0302385362881061,-0.0092634195106562,0,0,30,-150,-3,-2305.7838457199996,-309.4653764600724,-12.39516289254877,-26888.481350280003,-12.355660936750008,-29344.265196
28,29.0,2,28,29.0,7.514241720284136,12.629789473684212,7.65023806090582,8.074800465393064,7.508438152,12.248842838948374,12.288008478901988,-5.115547753400077,0.00580356828413553,4.628588698963207,4.2040262944759625,0.0299839209206531,-0.009181719032961,0,0,30,-150,-3,-2274.0046002,-306.7898178985913,-12.288008478901988,-26113.8431874,-12.248842838948374,-28537.8477876
29,30.0,2,29,30.0,7.501103372754537,12.580815789473686,7.644571394239152,8.074400465393065,7.49970688,12.14321450356428,12.182047573540896,-5.079712416719149,0.0013964927545373484,4.528375250776028,4.098546179622115,0.0297321414508999,-0.009100928525715,0,0,30,-150,-3,-2242.22535468,-304.1440602606355,-12.182047573540896,-25113.25286292,-12.14321450356428,-27505.478217599997
30,31.0,2,30,31.0,7.489089065224941,12.53184210526316,7.637952346620105,8.074200465393066,7.491153368,12.03876267861539,12.077266882796357,-5.042753040038218,-0.0020643027750590903,4.430293498315304,3.994045379542344,0.0294831663200199,-0.0090210378609452,0,0,30,0,0,-2226.60689184,-301.5277716167574,-12.077266882796357,-23987.74198810285,-12.03876267861539,-26214.348879942852
