i,j,head,kper,kstp
6,3,10.202584266662598,1,1
6,4,10.465548515319824,1,1
6,5,10.830880165100098,1,1
6,6,8.994091033935547,1,1
6,7,10.20577621459961,1,1
6,8,10.373517990112305,1,1
6,9,10.513603210449219,1,1
6,10,10.572336196899414,1,1
6,11,10.669747352600098,1,1
6,12,10.65032958984375,1,1
6,13,10.706815719604492,1,1
6,14,10.709174156188965,1,1
6,15,10.71744155883789,1,1
6,16,10.702655792236328,1,1
6,17,10.696200370788574,1,1
6,18,10.719776153564453,1,1
6,19,10.722716331481934,1,1
6,20,10.81087875366211,1,1
6,21,10.907633781433105,1,1
6,22,10.952013969421387,1,1
6,23,10.880678176879883,1,1
6,24,10.835311889648438,1,1
6,25,10.828965187072754,1,1
6,26,10.944489479064941,1,1
6,27,10.9762544631958,1,1
6,28,10.986659049987793,1,1
6,29,10.932684898376465,1,1
6,30,10.985169410705566,1,1
6,31,11.003562927246094,1,1
6,32,11.143425941467285,1,1
6,33,10.837736129760742,1,1
6,34,10.586089134216309,1,1
6,35,10.552205085754395,1,1
6,36,10.439401626586914,1,1
6,37,10.296541213989258,1,1
6,38,10.376749992370605,1,1
6,39,10.269224166870117,1,1
6,40,10.234784126281738,1,1
6,41,10.032766342163086,1,1
6,42,9.955623626708984,1,1
6,43,10.002812385559082,1,1
6,44,10.817487716674805,1,1
6,45,10.950854301452637,1,1
6,46,10.125177383422852,1,1
6,47,9.865612983703613,1,1
6,48,9.822962760925293,1,1
6,49,9.759564399719238,1,1
6,50,9.674798011779785,1,1
6,51,9.747485160827637,1,1
6,52,9.799310684204102,1,1
6,53,9.686117172241211,1,1
6,54,9.510149002075195,1,1
6,55,9.635388374328613,1,1
6,56,9.617218017578125,1,1
7,0,8.997485160827637,1,1
7,1,9.00678539276123,1,1
7,2,9.335250854492188,1,1
7,3,10.061285018920898,1,1
7,4,10.22135066986084,1,1
7,5,10.58116626739502,1,1
7,6,10.108492851257324,1,1
7,7,9.372193336486816,1,1
7,8,10.26196002960205,1,1
7,9,10.450953483581543,1,1
7,10,10.50560474395752,1,1
7,11,10.512548446655273,1,1
7,12,10.603068351745605,1,1
7,13,10.659916877746582,1,1
7,14,10.670186996459961,1,1
7,15,10.65242862701416,1,1
7,16,10.649626731872559,1,1
7,17,10.650445938110352,1,1
7,18,10.609880447387695,1,1
7,19,10.649229049682617,1,1
7,20,10.734923362731934,1,1
7,21,10.77570915222168,1,1
7,22,10.816484451293945,1,1
