kper,kstp,index,AWq,weight,std
2,1,"(np.int64(0), np.int64(15), np.int64(41))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(15), np.int64(48))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(15), np.int64(49))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(16), np.int64(14))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(16), np.int64(15))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(16), np.int64(16))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(16), np.int64(17))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(16), np.int64(41))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(16), np.int64(46))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(16), np.int64(47))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(17), np.int64(18))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(17), np.int64(41))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(17), np.int64(42))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(17), np.int64(43))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(17), np.int64(44))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(17), np.int64(45))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(18), np.int64(19))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(18), np.int64(20))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(18), np.int64(40))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(18), np.int64(42))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(19), np.int64(21))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(19), np.int64(40))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(19), np.int64(41))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(20), np.int64(22))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(20), np.int64(39))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(20), np.int64(41))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(21), np.int64(23))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(21), np.int64(36))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(21), np.int64(37))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(21), np.int64(38))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(21), np.int64(39))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(21), np.int64(40))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(21), np.int64(41))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(22), np.int64(24))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(22), np.int64(35))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(23), np.int64(25))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(23), np.int64(26))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(23), np.int64(34))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(24), np.int64(27))",5.76,0.0,3.0
