time,spring,awanui,poukawa,pk4,kper,kstp,pk4-diff,pk4-aw-diff,pk4-pw-diff,pk4-spr-diff
42.0,7.381608878401896,7.2076536650498,7.487095801453829,7.381608878401896,2,41,-0.001739122815926919,0.1739552133520963,-0.10548692305193264,0.018648761598104358
43.0,7.379869755585969,7.205497364642853,7.485983545063795,7.379869755585969,2,42,-0.0016665791074261804,0.17437239094311607,-0.1061137894778259,0.015320274414031054
44.0,7.378203176478543,7.203356721764455,7.484845683046472,7.378203176478543,2,43,-0.001540366692684536,0.17484645471408822,-0.10664250656792884,0.01411896352145714
45.0,7.376662809785858,7.2012525209704155,7.483875945449182,7.376662809785858,2,44,-0.0014639522220063483,0.17541028881544296,-0.10721313566332391,0.010085820214141172
46.0,7.375198857563852,7.1990243944074415,7.482899609833066,7.375198857563852,2,45,-0.002174711093313242,0.1761744631564106,-0.1077007522692135,0.007701652436147732
47.0,7.373024146470539,7.196461150388113,7.481492916367644,7.373024146470539,2,46,-0.0034140237925557315,0.17656299608242598,-0.10846876989710541,0.009044043529461199
48.0,7.369610122677983,7.193582011411536,7.479365987874249,7.369610122677983,2,47,-0.0013789007619893212,0.17602811126644724,-0.10975586519626557,0.012076437322017242
49.0,7.368231221915994,7.19229024628516,7.478429214349354,7.368231221915994,2,48,-0.0007924871683018253,0.17594097563083366,-0.11019799243335981,0.010890278084006333
50.0,7.367438734747692,7.191968238891416,7.477837243840334,7.367438734747692,2,49,-0.0004448531660088406,0.17547049585627583,-0.11039850909264182,0.009622205252307836
51.0,7.366993881581683,7.191865128482099,7.477483469297252,7.366993881581683,2,50,-0.0010336163145732158,0.17512875309958442,-0.11048958771556894,0.007548758418316481
52.0,7.36596026526711,7.191383326425636,7.476732390601846,7.36596026526711,2,51,-0.00028906237831449744,0.17457693884147396,-0.11077212533473624,0.005503534732890003
53.0,7.365671202888795,7.190893406377791,7.476517282452227,7.365671202888795,2,52,0.0,0.17477779651100445,-0.11084607956343184,0.0018443171112050294
54.0,10.675896004485212,10.620482679803198,10.684162533432469,10.675896004485212,3,1,0.0,0.05541332468201432,-0.008266528947256546,-2.4558960044852114
55.0,10.543069579375729,10.482624766382092,10.554851307213964,10.543069579375729,4,1,0.0,0.06044481299363724,-0.011781727838235057,-2.3257513993757293
56.0,10.431204653402697,10.372906561888472,10.444034229282094,10.431204653402697,4,2,0.0,0.05829809151422438,-0.012829575879397481,-2.2164633934026963
57.0,10.340206708608768,10.285483968113434,10.35103163937309,10.340206708608768,4,3,0.0,0.05472274049533432,-0.010824930764322005,-2.1280313886087683
58.0,10.27253942592329,10.221707988147326,10.281394900675739,10.27253942592329,4,4,0.0,0.05083143777596355,-0.00885547475244941,-2.0645879059232897
59.0,10.248912698768029,10.193130854880735,10.257205657467914,10.248912698768029,4,5,0.0,0.0557818438872939,-0.008292958699884778,-2.0453132687680284
60.0,10.12391310118458,10.07678432947393,10.134481101018467,10.12391310118458,4,6,0.0,0.047128771710649886,-0.010567999833886788,-1.9242713911845808
61.0,10.116899871308238,10.06818195608118,10.124137249596004,10.116899871308238,4,7,0.0,0.048717915227058484,-0.007237378287765495,-1.9210539113082383
62.0,10.090643134921086,10.041995545844703,10.097908788676653,10.090643134921086,4,8,0.0,0.04864758907638311,-0.007265653755567314,-1.8976670549210866
63.0,10.06315797569289,10.010824810553219,10.065935498133493,10.06315797569289,4,9,0.0,0.05233316513967168,-0.0027775224406028087,-1.8720147956928912
64.0,9.958813457623636,9.913754196244593,9.965409453532597,9.958813457623636,4,10,0.0,0.045059261379043036,-0.006595995908961427,-1.7703762276236361
65.0,9.941549372881386,9.894685254625527,9.94809177791665,9.941549372881386,4,11,0.0,0.046864118255859566,-0.006542405035263599,-1.7576597628813868
66.0,9.93012209392204,9.884138965894525,9.93614571676239,9.93012209392204,4,12,0.0,0.04598312802751536,-0.006023622840348963,-1.7497562939220401
67.0,9.832988373907448,9.790834092932949,9.840670789148412,9.832988373907448,4,13,0.0,0.0421542809744988,-0.0076824152409642465,-1.655313053907447
68.0,9.752041392199356,9.710692292907902,9.757963574311363,9.752041392199356,4,14,0.0,0.041349099291453584,-0.005922182112007235,-1.5773660721993554
69.0,9.746293224180741,9.70413600697438,9.7535849227728,9.746293224180741,4,15,0.0,0.0421572172063609,-0.007291698592059248,-1.5770940941807403
70.0,9.665905712009433,9.625982469544368,9.673694028512204,9.665905712009433,4,16,0.0,0.039923242465064845,-0.007788316502770343,-1.5018732420094327
71.0,9.596413224952203,9.558665143280475,9.604803982757245,9.596413224952203,4,17,0.0,0.03774808167172772,-0.00839075780504217,-1.437047424952203
72.0,9.545990056025746,9.50959014431953,9.552297989568324,9.545990056025746,4,18,0.0,0.036399911706215704,-0.00630793354257797,-1.3915766360257464
73.0,9.465132000609042,9.432195399624232,9.472173973403617,9.465132000609042,4,19,0.0,0.03293660098480977,-0.007041972794574747,-1.315361440609042
74.0,9.452884025413464,9.416045715137,9.456444080644571,9.452884025413464,4,20,0.0,0.03683831027646356,-0.003560055231107029,-1.3077801254134638
75.0,9.438870699793227,9.404387206091403,9.443871566867834,9.438870699793227,4,21,0.0,0.03448349370182413,-0.005000867074606674,-1.297100139793228
76.0,9.35720300587204,9.325540892897994,9.363105966047335,9.35720300587204,4,22,0.0,0.03166211297404686,-0.00590296017529468,-1.2186705358720413
77.0,9.285695458061532,9.255917986255453,9.292356581450617,9.285695458061532,4,23,0.0,0.029777471806079703,-0.0066611233890849775,-1.1501153680615328
78.0,9.270203737185641,9.236489527509669,9.274967895048071,9.270203737185641,4,24,0.0,0.033714209675972384,-0.0047641578624304515,-1.1372665071856414
79.0,9.25381727273743,9.22238768796962,9.257894871634198,9.25381727273743,4,25,0.0,0.031429584767810326,-0.004077598896767398,-1.12321337273743
80.0,9.137271814437298,9.107962663195469,9.140771047831345,9.137271814437298,4,26,0.0,0.029309151241829312,-0.0034992333940468967,-1.0090012544372975
81.0,9.12861690904614,9.098861467326103,9.133382047170324,9.12861690904614,4,27,0.0,0.02975544172003808,-0.00476513812418311,-1.0023939690461408
82.0,9.054597619679159,9.028918039734911,9.061084944584294,9.054597619679159,4,28,0.0,0.02567957994424752,-0.006487324905135594,-0.9306603896791596
83.0,9.008751916782147,8.982846240808298,9.013019837807322,9.008751916782147,4,29,0.0,0.025905675973849185,-0.0042679210251748145,-0.8876480167821477
84.0,8.963654646694904,8.939671538475514,8.967798737772473,8.963654646694904,4,30,0.0,0.023983108219390203,-0.004144091077568746,-0.8458602766949035
85.0,8.888300962410709,8.867628993868202,8.891680975200476,8.888300962410709,4,31,0.0,0.020671968542506747,-0.003380012789767406,-0.7724113524107086
86.0,8.854226158822037,8.828049300383155,8.858124869929329,8.854226158822037,4,32,0.0,0.026176858438882178,-0.0038987111072916747,-0.7405032188220364
87.0,8.838958789125662,8.81730638209071,8.83946853935889,8.838958789125662,4,33,0.0,0.02165240703495286,-0.0005097502332276349,-0.728235849125662
88.0,8.802762564576865,8.77801992351916,8.808036758094165,8.802762564576865,4,34,0.0,0.024742641057704517,-0.005274193517299963,-0.6950872445768645
89.0,8.717522087826442,8.703985191955486,8.723899251040477,8.717522087826442,4,35,0.0,0.0135368958709563,-0.006377163214034809,-0.6127515278264415
90.0,8.710578987975387,8.685713046514621,8.708816909449315,8.710578987975387,4,36,0.0,0.024865941460765484,0.0017620785260721306,-0.6084750879753873
91.0,8.69421135003355,8.6756041567978,8.697165552213788,8.69421135003355,4,37,0.0,0.01860719323575033,-0.002954202180237786,-0.5942503100335497
92.0,8.560084755722217,8.546249071759735,8.565996801658669,8.560084755722217,4,38,0.0,0.013835683962481582,-0.005912045936451449,-0.4620760957222174
