,time,kper,kstp,sample,flux,package
51,52.0,2,51,spring,-0.0007522620921216472,GHB_SP
52,53.0,2,52,spring,-0.0019220759416831434,GHB_SP
53,54.0,3,1,spring,-0.18137633307209855,GHB_SP
54,55.0,4,1,spring,-0.17745798674982094,GHB_SP
55,56.0,4,2,spring,-0.1731954500760362,GHB_SP
56,57.0,4,3,spring,-0.16887716982137713,GHB_SP
57,58.0,4,4,spring,-0.1675381933728608,GHB_SP
58,59.0,4,5,spring,-0.1663777113971121,GHB_SP
59,60.0,4,6,spring,-0.1648579812190052,GHB_SP
60,61.0,4,7,spring,-0.1631948757756132,GHB_SP
61,62.0,4,8,spring,-0.16059887281043883,GHB_SP
62,63.0,4,9,spring,-0.15660150419056995,GHB_SP
63,64.0,4,10,spring,-0.15497978495886322,GHB_SP
64,65.0,4,11,spring,-0.15484680220328206,GHB_SP
65,66.0,4,12,spring,-0.15389646686495873,GHB_SP
66,67.0,4,13,spring,-0.15202130326930607,GHB_SP
67,68.0,4,14,spring,-0.15052337414038597,GHB_SP
68,69.0,4,15,spring,-0.1505971983382728,GHB_SP
69,70.0,4,16,spring,-0.15027577285175386,GHB_SP
70,71.0,4,17,spring,-0.14941368081497375,GHB_SP
71,72.0,4,18,spring,-0.14855399105790523,GHB_SP
72,73.0,4,19,spring,-0.1473382454224046,GHB_SP
73,74.0,4,20,spring,-0.14605453031629034,GHB_SP
74,75.0,4,21,spring,-0.14349843031546872,GHB_SP
75,76.0,4,22,spring,-0.14111659437162238,GHB_SP
76,77.0,4,23,spring,-0.13874115317831048,GHB_SP
77,78.0,4,24,spring,-0.13634190058645324,GHB_SP
78,79.0,4,25,spring,-0.13390516347154557,GHB_SP
79,80.0,4,26,spring,-0.13188668071096554,GHB_SP
80,81.0,4,27,spring,-0.12976697480305077,GHB_SP
81,82.0,4,28,spring,-0.12824104389795288,GHB_SP
82,83.0,4,29,spring,-0.12732140746595677,GHB_SP
83,84.0,4,30,spring,-0.12664972734153457,GHB_SP
84,85.0,4,31,spring,-0.12438651728559513,GHB_SP
85,86.0,4,32,spring,-0.1226486670025615,GHB_SP
86,87.0,4,33,spring,-0.1218174465469315,GHB_SP
87,88.0,4,34,spring,-0.12091429533334086,GHB_SP
88,89.0,4,35,spring,-0.11975151440567178,GHB_SP
89,90.0,4,36,spring,-0.11826674122939052,GHB_SP
90,91.0,4,37,spring,-0.11619714372847367,GHB_SP
91,92.0,4,38,spring,-0.11408911675601763,GHB_SP
92,93.0,4,39,spring,-0.11093350215302955,GHB_SP
93,94.0,4,40,spring,-0.10812428461978119,GHB_SP
94,95.0,4,41,spring,-0.10659465521155553,GHB_SP
95,96.0,4,42,spring,-0.10561551571084271,GHB_SP
96,97.0,4,43,spring,-0.10446686979496311,GHB_SP
97,98.0,4,44,spring,-0.10356359736470644,GHB_SP
98,99.0,4,45,spring,-0.10279701055099233,GHB_SP
99,100.0,4,46,spring,-0.0996640723906248,GHB_SP
100,101.0,4,47,spring,-0.09674007698967113,GHB_SP
101,102.0,4,48,spring,-0.09481380043078591,GHB_SP
102,103.0,4,49,spring,-0.09390160373167422,GHB_SP
103,104.0,4,50,spring,-0.09232067218224538,GHB_SP
104,105.0,4,51,spring,-0.0886464522300412,GHB_SP
