#time,h_1_18_44,h_1_19_44,h_1_20_43,h_1_21_43,h_1_22_42,h_1_23_42,h_1_24_42,h_1_25_41,h_1_26_41,h_1_27_41,h_1_28_40,h_1_29_40,h_1_30_41,h_1_31_41,h_1_32_41,h_1_33_41,h_1_34_41,h_1_35_42,h_1_36_42,h_1_37_42,h_1_38_42,h_1_39_42,h_1_40_42,h_1_41_42,h_1_42_42,h_1_43_42,h_1_44_42,h_1_45_42,h_1_46_42,h_1_47_42,h_1_48_42,h_1_49_41,h_1_50_41
12,6.491200198364257,6.602199782562255,6.6851999656677235,6.9951999084472645,6.674199809265136,6.655200232696532,8.911200274658203,6.913200129699706,7.257199992370604,7.562199820709227,7.5601999656677235,7.651200045776366,7.582199801635741,7.652199973297118,7.573199977111815,7.764199961853026,7.92720006866455,7.9332001106262195,8.025199641418457,8.07519983215332,8.057200183105468,8.059200038146972,8.047199954223633,8.086200465393066,8.085200061035156,8.10020040435791,8.07519983215332,8.114200343322754,8.163200129699707,9.208200205993652,10.121200312805176,8.152200450134277,8.136199702453613
13,6.486600198364257,6.597599782562255,6.6805999656677235,6.9905999084472645,6.669599809265136,6.650600232696532,8.906600274658203,6.908600129699706,7.252599992370604,7.557599820709227,7.5555999656677235,7.646600045776366,7.577599801635741,7.647599973297118,7.568599977111815,7.759599961853026,7.92260006866455,7.92860011062622,8.020599641418457,8.07059983215332,8.052600183105469,8.054600038146972,8.042599954223633,8.081600465393066,8.080600061035156,8.09560040435791,8.07059983215332,8.109600343322754,8.158600129699707,9.203600205993652,10.116600312805176,8.147600450134277,8.131599702453613
14,6.4848001983642565,6.5957997825622545,6.678799965667723,6.988799908447264,6.667799809265135,6.648800232696532,8.904800274658202,6.906800129699706,7.250799992370604,7.555799820709227,7.553799965667723,7.644800045776366,7.575799801635741,7.645799973297118,7.566799977111815,7.757799961853026,7.920800068664549,7.926800110626219,8.018799641418456,8.068799832153319,8.050800183105467,8.052800038146971,8.040799954223631,8.079800465393065,8.078800061035155,8.093800404357909,8.068799832153319,8.107800343322753,8.156800129699706,9.201800205993651,10.114800312805174,8.145800450134276,8.129799702453612
15,6.484000198364257,6.594999782562255,6.677999965667723,6.987999908447264,6.6669998092651355,6.648000232696532,8.904000274658202,6.906000129699706,7.249999992370604,7.554999820709227,7.552999965667723,7.644000045776366,7.574999801635741,7.644999973297118,7.565999977111815,7.756999961853026,7.9200000686645495,7.9260001106262195,8.017999641418456,8.067999832153319,8.050000183105467,8.052000038146971,8.039999954223632,8.079000465393065,8.078000061035155,8.093000404357909,8.067999832153319,8.107000343322753,8.156000129699706,9.201000205993651,10.114000312805175,8.145000450134276,8.128999702453612
16,6.483600198364256,6.594599782562254,6.6775999656677225,6.9875999084472635,6.666599809265135,6.647600232696531,8.903600274658201,6.905600129699705,7.249599992370603,7.554599820709226,7.5525999656677225,7.643600045776365,7.57459980163574,7.644599973297117,7.565599977111814,7.756599961853025,7.919600068664549,7.925600110626219,8.017599641418455,8.067599832153318,8.049600183105467,8.05160003814697,8.03959995422363,8.078600465393064,8.077600061035154,8.092600404357908,8.067599832153318,8.106600343322752,8.155600129699705,9.20060020599365,10.113600312805174,8.144600450134275,8.128599702453611
17,6.483200198364256,6.594199782562254,6.677199965667723,6.987199908447264,6.666199809265135,6.647200232696531,8.9032002746582,6.905200129699705,7.249199992370603,7.5541998207092265,7.552199965667723,7.643200045776365,7.57419980163574,7.644199973297117,7.565199977111814,7.756199961853025,7.919200068664549,7.925200110626219,8.017199641418454,8.067199832153317,8.049200183105466,8.05120003814697,8.03919995422363,8.078200465393063,8.077200061035153,8.092200404357907,8.067199832153317,8.106200343322751,8.155200129699704,9.20020020599365,10.113200312805173,8.144200450134274,8.12819970245361
18,6.483000198364255,6.593999782562253,6.676999965667722,6.986999908447263,6.665999809265134,6.647000232696531,8.9030002746582,6.905000129699705,7.248999992370603,7.553999820709226,7.551999965667722,7.643000045776365,7.57399980163574,7.643999973297117,7.564999977111814,7.755999961853025,7.919000068664548,7.925000110626218,8.016999641418455,8.066999832153318,8.049000183105466,8.05100003814697,8.03899995422363,8.078000465393064,8.077000061035154,8.092000404357908,8.066999832153318,8.106000343322751,8.155000129699705,9.20000020599365,10.113000312805173,8.144000450134275,8.12799970245361
19,6.482800198364256,6.593799782562254,6.676799965667723,6.986799908447264,6.665799809265135,6.646800232696531,8.902800274658201,6.904800129699705,7.2487999923706035,7.5537998207092265,7.551799965667723,7.642800045776365,7.57379980163574,7.643799973297117,7.564799977111814,7.755799961853025,7.918800068664549,7.924800110626219,8.016799641418455,8.066799832153318,8.048800183105467,8.05080003814697,8.03879995422363,8.077800465393064,8.076800061035154,8.091800404357908,8.066799832153318,8.105800343322752,8.154800129699705,9.19980020599365,10.112800312805174,8.143800450134275,8.127799702453611
20,6.482600198364256,6.593599782562254,6.676599965667723,6.986599908447264,6.665599809265135,6.646600232696532,8.902600274658202,6.9046001296997055,7.248599992370604,7.553599820709227,7.551599965667723,7.642600045776366,7.573599801635741,7.643599973297118,7.564599977111815,7.755599961853026,7.918600068664549,7.924600110626219,8.016599641418455,8.066599832153319,8.048600183105467,8.050600038146971,8.038599954223631,8.077600465393065,8.076600061035155,8.091600404357909,8.066599832153319,8.105600343322752,8.154600129699705,9.19960020599365,10.112600312805174,8.143600450134276,8.127599702453612
21,6.482200198364256,6.593199782562254,6.676199965667723,6.986199908447264,6.665199809265135,6.646200232696532,8.902200274658203,6.9042001296997055,7.248199992370604,7.553199820709227,7.551199965667723,7.642200045776366,7.573199801635741,7.643199973297118,7.564199977111815,7.755199961853026,7.918200068664549,7.924200110626219,8.016199641418456,8.06619983215332,8.048200183105468,8.050200038146972,8.038199954223632,8.077200465393066,8.076200061035156,8.09120040435791,8.06619983215332,8.105200343322753,8.154200129699706,9.199200205993652,10.112200312805175,8.143200450134277,8.127199702453613
