,time,kper,kstp,time,pk4head,confhead,awswhead,pwswhead,springhead,awgwhead,pwgwhead,pk4confdiff,pk4springdiff,pk4awswdiff,pk4pwswdiff,pk4awgwdiff,pk4pwgwdiff,awswgwdiff,pwswgwdiff,firstnegday,springcum,springq,pwtot,pwcum,pwq,awcum,awq,awtot
20,21.0,2,20,21.0,6.252381889639704,13.021578947368422,7.692571394239153,8.127199702453613,7.561156447999999,6.51718068759634,6.223611982534398,-6.769197057728718,-1.3087745583602954,-1.4401895045994495,-1.8748178128139088,-0.26479879795663575,0.028769907105306025,1.1753907066428138,1.9035877199192148,3,-77.54162003778563,-6.252381889639704,-2696.819035695265,-227.7680187752647,-6.223611982534398,-809.7108685885603,-6.51718068759634,-3584.071524321611
21,22.0,2,21,22.0,6.184193812595947,12.972605263157895,7.6859047275724866,8.126999702453613,7.558700672,6.366952696529519,6.156059212228184,-6.788411450561949,-1.374506859404053,-1.50171091497654,-1.9428058898576666,-0.1827588839335723,0.028134600367762275,1.3189520310429677,1.9709404902254288,3,-75.9556206425844,-6.184193812595947,-2677.4841228198525,-224.61014869985215,-6.156059212228184,-790.5675717181969,-6.366952696529519,-3544.007315180634
22,23.0,2,22,23.0,6.116754633012261,12.923631578947369,7.679428537096296,8.126599702453612,7.556009423999999,6.2202295170456035,6.089271674150524,-6.806876945935108,-1.4392547909877385,-1.5626739040840354,-2.0098450694413517,-0.10347488403334282,0.027482958861736684,1.4591990200506926,2.0373280283030883,3,-74.40665499646151,-6.116754633012261,-2641.5196151790915,-221.52575253909185,-6.089271674150524,-771.9231071077049,-6.2202295170456035,-3487.8493772832576
23,24.0,2,23,24.0,6.050056127113734,12.874657894736844,7.673523775191533,8.126399702453613,7.551595632,6.076928880994298,6.0232406932818625,-6.824601767623109,-1.5015395048862654,-1.6234676480777983,-2.0763435753398785,-0.026872753880563316,0.026815433831871793,1.596594894197235,2.1031590091717502,3,-72.89380387842655,-6.050056127113734,-2621.8024279941546,-218.5116340341549,-6.0232406932818625,-753.7617655708084,-6.076928880994298,-3448.4579974433896
24,25.0,2,24,25.0,5.984090161489924,12.825684210526315,7.66823806090582,8.126199702453611,7.545791992,5.936970457407869,5.957957692995901,-6.841594049036392,-1.561701830510076,-1.6841478994158958,-2.1421095409636877,0.04711970408205435,0.02613246849402273,1.7312676034979502,2.1682420094577104,3,-71.41617191559749,-5.984090161489924,-2602.1525462803697,-215.56482100036948,-5.957957692995901,-736.0685345653518,-5.936970457407869,-3409.6372527613194
25,26.0,2,25,26.0,5.918848692099406,12.77671052631579,7.663571394239153,8.125999702453612,7.538130032,5.8002758068077735,5.893414193943057,-6.857861834216385,-1.6192813399005939,-1.7447227021397467,-2.207151010354206,0.11857288529163235,0.025434498156348795,1.863295587431379,2.232585508510555,3,-69.97288694118143,-5.918848692099406,-2583.1094888229254,-212.68254622292554,-5.893414193943057,-718.8290512948765,-5.8002758068077735,-3371.9114270589835
26,27.0,2,26,27.0,5.854323763285359,12.727736842105264,7.658904727572486,8.125599702453611,7.529994536,5.666768336590162,5.829601812946618,-6.873413078819905,-1.675670772714641,-1.804580964287127,-2.2712759391682518,0.1875554266951971,0.024721950338741472,1.9921363909823242,2.2959978895069932,3,-68.56309937034852,-5.854323763285359,-2547.425321332539,-209.8622300925392,-5.829601812946618,-702.0295601118399,-5.666768336590162,-3318.0179808147277
27,28.0,2,27,28.0,5.790507506802063,12.678763157894736,7.654809489477248,8.125199702453612,7.519388864,5.5363732574647875,5.766512261911419,-6.888255651092672,-1.7288813571979365,-1.864301982675185,-2.3346921956515487,0.2541342493372758,0.023995244890643974,2.118436232012461,2.3586874405421927,3,-67.18598159348281,-5.790507506802063,-2512.885310538338,-207.10146481833837,-5.766512261911419,-685.6568737575343,-5.5363732574647875,-3265.7281658893553
28,29.0,2,28,29.0,5.727392140852185,12.629789473684212,7.65023806090582,8.124799702453611,7.508438152,5.4090175409224,5.7041373467449175,-6.902397332832027,-1.781046011147815,-1.9228459200536347,-2.397407561601426,0.31837459992978534,0.023254794107267607,2.24122051998342,2.4206623557086937,3,-65.84072738630982,-5.727392140852185,-2478.4026002706755,-204.3980000706755,-5.7041373467449175,-669.6983380281936,-5.4090175409224,-3213.941665685179
29,30.0,2,29,30.0,5.664969969134741,12.580815789473686,7.644571394239152,8.124399702453612,7.49970688,5.284629877706363,5.642468966290505,-6.915845820338945,-1.8347369108652591,-1.9796014251044118,-2.4594297333188715,0.3803400914283772,0.022501002844235174,2.359941516532789,2.4819307361631067,3,-64.52655133641518,-5.664969969134741,-2443.9750846005395,-201.74972992053992,-5.642468966290505,-654.141799504583,-5.284629877706363,-3162.643435441538
30,31.0,2,30,31.0,5.603233379903603,12.53184210526316,7.637952346620105,8.124199702453613,7.491153368,5.163140637264735,5.581499111272942,-6.928608725359556,-1.8879199880963968,-2.034718966716502,-2.5209663225500094,0.44009274263886855,0.02173426863066119,2.4748117093553708,2.5427005911806706,3,-63.242688285683094,-5.603233379903603,-2425.7615727948682,-199.15468095486793,-5.581499111272942,-638.9755760243512,-5.163140637264735,-3127.9798371049023
31,32.0,2,31,32.0,5.5421748450364445,12.482868421052633,7.634142822810581,8.123999702453613,7.480813343999999,5.04448182815966,5.52121986325575,-6.940693576016188,-1.9386384989635541,-2.0919679777741367,-2.5818248574171685,0.49769301687678436,0.02095498178069466,2.589660994650921,2.602779839197863,3,-61.98839278819766,-5.5421748450364445,-2407.5994304584688,-196.61100145846868,-5.52121986325575,-624.1884296133316,-5.04448182815966,-3093.7762528599983
32,33.0,2,32,33.0,5.481786919113987,12.433894736842106,7.629809489477248,8.123799702453613,7.47139248,4.928587059411473,5.461623393610455,-6.952107817728119,-1.9896055608860124,-2.1480225703632607,-2.6420127833396263,0.5531998597025138,0.020163525503532398,2.7012224300657746,2.6621763088431587,3,-60.762938583163276,-5.481786919113987,-2390.0292375636086,-194.11695156360858,-5.461623393610455,-609.7695416244219,-4.928587059411473,-3060.561717771194
33,34.0,2,33,34.0,5.422062238509458,12.38492105263158,7.623809489477248,8.123799702453613,7.464183424,4.815391502755401,5.40270196249752,-6.9628588141221215,-2.042121185490542,-2.20174725096779,-2.7017374639441556,0.6066707357540571,0.01936027601193757,2.808417986721847,2.721097739956093,3,-59.565618082413856,-5.422062238509458,-2387.583180277638,-191.67089427763779,-5.40270196249752,-595.7084898612212,-4.815391502755401,-3042.857288221273
34,35.0,2,34,35.0,5.362993520488124,12.335947368421056,7.61771425138201,8.123599702453612,7.454120551999999,4.704831855789322,5.3444479178588615,-6.972953847932932,-2.091127031511875,-2.2547207308938857,-2.760606181965488,0.6581616646988024,0.018545602629262525,2.912882395592688,2.7791517845947507,3,-58.39574187209301,-5.362993520488124,-2370.1074303074897,-189.27128730748976,-5.3444479178588615,-581.9952274887163,-4.704831855789322,-3010.498399668299
35,36.0,2,35,36.0,5.304573562316802,12.286973684210528,7.611904727572486,8.123399702453613,7.443303071999999,4.596846305991527,5.28685369442178,-6.9824001218937255,-2.1387295096831966,-2.3073311652556834,-2.81882614013681,0.707727256325275,0.017719867895022112,3.0150584215809584,2.8365460080318323,3,-57.25263822810003,-5.304573562316802,-2352.676675607527,-186.91667560752686,-5.28685369442178,-568.620063555439,-4.596846305991527,-2978.549377391066
