i,j,head,kper,kstp
7,9,1e+30,1,1
7,10,1e+30,1,1
7,11,1e+30,1,1
7,12,1e+30,1,1
7,13,1e+30,1,1
7,14,13.88259122679294,1,1
7,15,13.882594344588423,1,1
7,16,13.882579809293867,1,1
7,17,13.882548111650907,1,1
7,18,13.882499787714545,1,1
7,19,13.882435581729608,1,1
7,20,13.882355788778648,1,1
7,21,13.882260943721866,1,1
7,22,13.882151681579366,1,1
7,23,13.882028328961622,1,1
7,24,13.881891255899697,1,1
7,25,13.881740602586023,1,1
7,26,13.881576059816545,1,1
7,27,13.881397428512976,1,1
7,28,13.881204601907136,1,1
7,29,13.88099799688197,1,1
7,30,13.880778852297917,1,1
7,31,13.88054764225082,1,1
7,32,13.880302800950846,1,1
7,33,13.880041663061128,1,1
7,34,13.879765720839407,1,1
7,35,13.879477399288676,1,1
7,36,13.87917697973152,1,1
7,37,13.878863106999392,1,1
7,38,13.878535945195708,1,1
7,39,13.878196040464564,1,1
7,40,13.87784602502822,1,1
7,41,13.87748527554788,1,1
7,42,13.877114768959586,1,1
7,43,13.876751882325326,1,1
7,44,13.87641874407219,1,1
7,45,13.876267284020765,1,1
7,46,13.876131318935133,1,1
7,47,13.87598601943229,1,1
7,48,13.875831110828551,1,1
7,49,13.875665543085846,1,1
7,50,13.875491296434818,1,1
7,51,13.87531632211664,1,1
7,52,13.87513279140793,1,1
7,53,13.874936646876957,1,1
7,54,1e+30,1,1
7,55,1e+30,1,1
7,56,1e+30,1,1
8,0,1e+30,1,1
8,1,1e+30,1,1
8,2,1e+30,1,1
8,3,1e+30,1,1
8,4,1e+30,1,1
8,5,1e+30,1,1
8,6,1e+30,1,1
8,7,1e+30,1,1
8,8,1e+30,1,1
8,9,1e+30,1,1
8,10,1e+30,1,1
8,11,1e+30,1,1
8,12,1e+30,1,1
8,13,13.882536605159213,1,1
8,14,13.882552213304788,1,1
8,15,13.882549879683975,1,1
8,16,13.882529912889709,1,1
8,17,13.882492931809306,1,1
8,18,13.882439528147938,1,1
8,19,13.882370169922247,1,1
8,20,13.882285190606412,1,1
8,21,13.8821849637325,1,1
8,22,13.882070017533612,1,1
8,23,13.881941055321905,1,1
8,24,13.881798737664774,1,1
8,25,13.881642131024693,1,1
8,26,13.881470687043011,1,1
8,27,13.881284720474124,1,1
8,28,13.881084148613015,1,1
8,29,13.880869751689257,1,1
8,30,13.880642387061293,1,1
8,31,13.88040201925654,1,1
8,32,13.880146874371565,1,1
8,33,13.879876146477084,1,1
8,34,13.879591531207513,1,1
8,35,13.879294476113111,1,1
8,36,13.878984501950999,1,1
8,37,13.878660295870684,1,1
8,38,13.878321387107912,1,1
8,39,13.877968653838868,1,1
8,40,13.87760298112608,1,1
8,41,13.877224414853982,1,1
8,42,13.87684077761128,1,1
8,43,13.876443845072208,1,1
8,44,13.876268013922985,1,1
8,45,13.876114108423632,1,1
8,46,13.87595767778882,1,1
8,47,13.875797213819379,1,1
8,48,13.8756306491993,1,1
8,49,13.875456946935028,1,1
8,50,13.8752762521764,1,1
8,51,13.875092963651124,1,1
8,52,13.87489750005568,1,1
8,53,13.874702347106542,1,1
8,54,13.874440606085042,1,1
8,55,1e+30,1,1
8,56,1e+30,1,1
9,0,1e+30,1,1
9,1,1e+30,1,1
9,2,1e+30,1,1
9,3,1e+30,1,1
9,4,1e+30,1,1
9,5,1e+30,1,1
9,6,1e+30,1,1
9,7,1e+30,1,1
9,8,1e+30,1,1
9,9,1e+30,1,1
9,10,1e+30,1,1
9,11,1e+30,1,1
9,12,13.88245647456313,1,1
9,13,13.882485087457367,1,1
9,14,13.882495066425713,1,1
9,15,13.882486829894901,1,1
9,16,13.882460859476915,1,1
