obs_realization,phi_iter0,phi_final,reduction_%
174,476707374172757.94,469906057488915.4,1.426727810880848
175,1936341132581123.5,99397202897787.02,94.86675146102527
176,464739635399637.0,519973158757609.56,-11.884831667192831
177,652058434152489.5,24996770575595.4,96.16648305330415
178,2381255981450896.0,470786956191856.0,80.22946882405284
179,1859926507807244.0,474326842377340.0,74.49754921034237
180,481094332752503.0,470161424253706.0,2.272508270102901
181,1414906811915861.8,493402914363608.3,65.12823952727223
183,17041207009874.89,6607557000709.2,61.22600355197664
184,3579559400126272.0,9208635798915.73,99.74274387516544
185,3396292450714431.5,246059669655270.0,92.75505059631982
187,616277050393784.4,379852981466366.0,38.36327651278752
188,510932142793666.4,198653243145466.22,61.11944688794224
189,445657777714573.7,439193939142942.9,1.450404075696542
191,471499607885191.0,469757551392310.0,0.3694714616401519
192,4529368824296964.0,470261297666071.9,89.61750928421986
193,986104675304314.5,23136469514593.0,97.65375115907922
194,490645560543761.4,472118837432397.3,3.7759891459797768
195,1779565178581431.8,471205036333409.3,73.52133869527458
197,4409709922787231.5,324574066119735.1,92.63955970340602
199,491825934575632.8,225110393505033.38,54.22966182145973
200,353146150379063.25,13004009606713.62,96.31766915970759
201,3920492145223915.0,129832150368185.89,96.68837111365337
202,2777518859357959.0,38194759900401.09,98.62486046596169
203,3740420220713866.0,255982040959630.0,93.15632934657873
204,784960284270439.4,470401258201878.0,40.0732409488615
205,3305650801177574.0,1765828490414160.5,46.58151763080606
206,979649628298172.0,466250936712506.9,52.406358023891784
207,3107384887316036.0,125803961407932.4,95.9514522349179
208,9929657972047168.0,107092806840119.9,98.92148544147648
209,3.9447841407968115e+17,446634508833910.0,99.8867784667316
210,9.223722973358331e+16,517241502216013.5,99.4392269762329
211,3125668267156199.5,7416695973411.4,99.76271647086338
212,477435337055979.0,469811555389700.0,1.5968197312938142
213,486295244947363.6,470995264285611.0,3.1462328329796208
214,2386172133602887.5,469267444814347.0,80.33388127344364
215,5.447800822687577e+16,963065243555237.2,98.23219446727106
216,3271846487040000.0,525908071332800.0,83.92626080056151
217,2884361265186872.0,108443883435130.0,96.24028082945067
218,3068270271546038.5,1398997991431437.0,54.4043429157722
219,2256464881306086.0,27647774883098.5,98.77473054811757
220,1.1209190474159174e+16,462663282219652.0,95.87246480210823
221,30893014314781.7,27955559054515.0,9.508477322205442
222,9276733170987180.0,462528410532751.5,95.01410246465532
223,728387308440667.9,452633100309180.0,37.858184091897854
225,482411995900782.2,470278431185227.5,2.515187188265982
226,34361078777417.5,446345412374554.4,-1198.9854459048527
228,510838232032416.75,468503970740453.2,8.287214745758716
229,1237684217841182.0,29169999475149.0,97.64317916842889
230,2.0064838410660027e+18,469751675601940.9,99.97658831504208
231,674988048790400.0,470779723765800.0,30.25362084418351
232,749585657307300.0,114603626285800.0,84.71107002000478
233,3025133027299788.0,278440378867078.84,90.79576414146611
234,469786660905900.0,469758667745900.0,0.005958696218836901
235,486810998173000.0,470387147214500.0,3.3737633332317176
236,252364307218857.0,19669049954892.7,92.20608881990782
237,9828802450039578.0,312573148304980.0,96.81982469488212
238,613106541534802.5,468183831348197.1,23.637443147126973
239,653229350970526.9,452505952599600.0,30.727859682469067
241,3301280216727944.0,519051729230685.2,84.27725927049168
242,669072492789838.2,150767748003250.03,77.46615656330569
243,469771724364086.56,469749788334400.0,0.0046695083056045
244,910425160287095.0,519265026233482.0,42.96455668363382
245,498800664782269.1,469958178598478.2,5.782367230079964
246,2200187961775600.0,470760264868600.0,78.60363418729524
247,769627981942137.2,474068694537436.4,38.402877018434836
248,470941741842703.4,469820642681459.0,0.23805474470318394
base,496627472799769.25,100658420538817.5,79.73160446172074
