oname,usecol,obs_name,truth,simulated,residual,nrmse_pct
ts-heads,pk4,ob246,7.413180534690871,7.405084381155264,-0.008096153535606554,2.2664383873430736
ts-heads,pk4,ob257,7.387986379394895,7.374542640419065,-0.013443738975829511,3.763442226019684
ts-heads,pk4-conf-diff,ob0,6.255847031894655,6.408732747675195,0.1528857157805401,7.526989902984342
ts-heads,pk4-conf-diff,ob1,5.818951619371081,5.931026189895118,0.11207457052403758,5.517743475307142
ts-heads,pk4-conf-diff,ob11,6.210382518070869,6.361026319956357,0.15064380188548832,7.416614233385239
ts-heads,pk4-conf-diff,ob12,5.416806164942745,5.460928909966139,0.04412274502339386,2.1722857141197403
ts-heads,pk4-conf-diff,ob23,5.030292360038219,5.041195139128783,0.010902779090564252,0.5367742022868005
ts-heads,pk4-conf-diff,ob34,4.646152798642466,4.653196318844735,0.007043520202269171,0.34677213089055914
ts-heads,pk4-conf-diff,ob45,4.224680287271773,4.237071399580935,0.012391112309162011,0.6100489948432379
ts-heads,pk4-spr-diff,ob106,-0.1493380358747709,-7.591267252324805,-7.441929216450034,4469.431703496373
ts-heads,pk4-spr-diff,ob107,-0.1077203891502227,-7.579236970104881,-7.471516580954658,4487.201115310659
ts-heads,pk4-spr-diff,ob117,-0.1461534140594587,-7.590000000043643,-7.4438465859841845,4470.583226432698
ts-heads,pk4-spr-diff,ob118,-0.0480932186161524,-7.559597410033861,-7.511504191417709,4511.216647943726
ts-heads,pk4-spr-diff,ob129,-0.0063517623677977,-7.489594330871215,-7.483242568503417,4494.243442505788
ts-heads,pk4-spr-diff,ob140,0.0103896938805574,-7.405084381155264,-7.415474075035822,4453.543424487242
ts-heads,pk4-spr-diff,ob151,0.0171692453670102,-7.374542640419065,-7.3917118857860755,4439.272463438252
