,mm
2024-03-09,0.0
2024-03-10,0.0
2024-03-11,0.9999999999999964
2024-03-12,14.999999999999995
2024-03-13,14.999999999999995
2024-03-14,15.399999999999995
2024-03-15,15.399999999999995
2024-03-16,15.399999999999995
2024-03-17,15.399999999999995
2024-03-18,15.799999999999995
2024-03-19,15.999999999999995
2024-03-20,15.999999999999995
2024-03-21,15.999999999999995
2024-03-22,15.999999999999995
2024-03-23,15.999999999999995
2024-03-24,15.999999999999995
2024-03-25,14.999999999999995
2024-03-26,5.799999999999996
2024-03-27,8.599999999999996
2024-03-28,10.199999999999996
2024-03-29,13.599999999999996
2024-03-30,14.399999999999997
2024-03-31,14.399999999999997
2024-04-01,13.999999999999996
2024-04-02,13.799999999999997
2024-04-03,13.799999999999997
2024-04-04,13.799999999999997
2024-04-05,13.799999999999997
2024-04-06,13.999999999999996
2024-04-07,14.199999999999996
2024-04-08,14.199999999999996
2024-04-09,9.399999999999995
2024-04-10,6.599999999999997
2024-04-11,4.599999999999997
2024-04-12,1.5999999999999965
2024-04-13,7.599999999999996
2024-04-14,7.599999999999996
2024-04-15,7.599999999999996
2024-04-16,7.599999999999996
2024-04-17,7.599999999999996
2024-04-18,8.399999999999997
2024-04-19,8.999999999999996
2024-04-20,8.799999999999997
2024-04-21,8.599999999999996
2024-04-22,8.599999999999996
2024-04-23,8.599999999999996
2024-04-24,8.599999999999996
2024-04-25,8.599999999999996
2024-04-26,8.399999999999995
2024-04-27,1.5999999999999965
2024-04-28,5.399999999999997
2024-04-29,5.399999999999997
2024-04-30,5.399999999999997
2024-05-01,5.399999999999997
2024-05-02,4.599999999999996
2024-05-03,3.999999999999996
2024-05-04,18.199999999999996
2024-05-05,26.4
2024-05-06,26.599999999999998
2024-05-07,26.799999999999997
2024-05-08,26.799999999999997
2024-05-09,26.799999999999997
2024-05-10,26.599999999999998
2024-05-11,26.599999999999998
2024-05-12,22.799999999999997
2024-05-13,22.799999999999997
2024-05-14,22.799999999999997
2024-05-15,22.799999999999997
2024-05-16,23.599999999999998
2024-05-17,23.599999999999998
2024-05-18,9.399999999999997
2024-05-19,1.1999999999999966
2024-05-20,4.199999999999997
2024-05-21,3.9999999999999964
2024-05-22,3.9999999999999964
2024-05-23,3.9999999999999964
2024-05-24,3.9999999999999964
2024-05-25,3.9999999999999964
2024-05-26,3.9999999999999964
2024-05-27,4.599999999999996
2024-05-28,4.599999999999996
2024-05-29,5.9999999999999964
2024-05-30,5.199999999999997
