,time,kper,kstp,sample,flux,package
86,87.0,4,33,spring,-15.464359517540629,GHB_SP
87,88.0,4,34,spring,-15.767262814081619,GHB_SP
88,89.0,4,35,spring,-16.037307966085336,GHB_SP
89,90.0,4,36,spring,-16.257817846814305,GHB_SP
90,91.0,4,37,spring,-16.376072491152968,GHB_SP
91,92.0,4,38,spring,-16.458744453438612,GHB_SP
92,93.0,4,39,spring,-16.406517015714257,GHB_SP
93,94.0,4,40,spring,-16.3185130024375,GHB_SP
94,95.0,4,41,spring,-16.289921330528387,GHB_SP
95,96.0,4,42,spring,-16.295058110522973,GHB_SP
96,97.0,4,43,spring,-16.275333582117014,GHB_SP
97,98.0,4,44,spring,-16.303879467852425,GHB_SP
98,99.0,4,45,spring,-16.381341703757357,GHB_SP
99,100.0,4,46,spring,-16.23483643701161,GHB_SP
100,101.0,4,47,spring,-15.985419944573323,GHB_SP
101,102.0,4,48,spring,-15.797764015549888,GHB_SP
102,103.0,4,49,spring,-15.489528418057944,GHB_SP
103,104.0,4,50,spring,-15.159960639156452,GHB_SP
104,105.0,4,51,spring,-14.904445286257896,GHB_SP
105,106.0,4,52,spring,-14.7809430297483,GHB_SP
