kper,kstp,time,k,i,j,AWq
4,45,99.0,0,44,4,-5.946848859168995
4,46,100.0,0,10,55,-107.85188773407151
4,46,100.0,0,11,54,-139.2438173679642
4,46,100.0,0,12,9,-93.59867755847608
4,46,100.0,0,12,53,-49.11357688427995
4,46,100.0,0,13,9,-111.54920250859709
4,46,100.0,0,13,52,-225.37155051414777
4,46,100.0,0,14,10,-82.80169998705799
4,46,100.0,0,14,11,-111.67181801450943
4,46,100.0,0,14,12,-65.79402979609472
4,46,100.0,0,14,13,-49.78661854762538
4,46,100.0,0,14,14,-72.72838114907961
4,46,100.0,0,14,15,-53.89605632546443
4,46,100.0,0,14,52,-92.54328135810988
4,46,100.0,0,15,16,-53.156653168264484
4,46,100.0,0,15,45,-58.042516507226196
4,46,100.0,0,15,46,-52.1088149514967
4,46,100.0,0,15,47,-50.14597003509607
4,46,100.0,0,15,48,-117.81829371069512
4,46,100.0,0,15,49,-240.81459495716388
4,46,100.0,0,15,50,-115.5001530171271
4,46,100.0,0,15,51,-46.39513744377996
4,46,100.0,0,16,17,-142.24689163809114
4,46,100.0,0,16,18,-65.85998818246298
4,46,100.0,0,16,45,-50.89361997480921
4,46,100.0,0,16,51,-87.1643750075433
4,46,100.0,0,17,19,-117.90716860407633
4,46,100.0,0,17,44,-222.0362985467491
4,46,100.0,0,18,20,-140.08896124277146
4,46,100.0,0,18,45,-60.74171222738869
4,46,100.0,0,19,21,-105.56186105682968
4,46,100.0,0,19,42,-57.72707224590704
4,46,100.0,0,19,43,-46.5139797993304
4,46,100.0,0,19,44,-93.31739244886671
4,46,100.0,0,20,3,-27.89896769846314
4,46,100.0,0,20,22,-84.70574523937785
4,46,100.0,0,20,42,-45.98439637784395
4,46,100.0,0,21,3,-25.817933600458332
4,46,100.0,0,21,4,-27.719017384454673
4,46,100.0,0,21,23,-126.52884154073558
4,46,100.0,0,21,24,-46.0094115929993
4,46,100.0,0,21,41,-227.09314546500661
4,46,100.0,0,22,3,-23.041324353493906
4,46,100.0,0,22,4,-24.573550620694164
4,46,100.0,0,22,25,-103.18321338825865
4,46,100.0,0,22,38,-42.86493150311071
4,46,100.0,0,22,39,-40.37762471313488
4,46,100.0,0,22,40,-185.69623207572602
4,46,100.0,0,23,2,-17.774101001757913
4,46,100.0,0,23,3,-19.75191636475165
4,46,100.0,0,23,4,-21.464631077628724
4,46,100.0,0,23,5,-23.561220643890465
4,46,100.0,0,23,26,-135.38048764453265
4,46,100.0,0,23,37,-41.779200986243154
4,46,100.0,0,24,2,-16.462375443132714
4,46,100.0,0,24,3,-17.52633299629281
4,46,100.0,0,24,4,-18.8847426876564
4,46,100.0,0,24,5,-20.519175965121576
4,46,100.0,0,24,6,-22.417686905037385
4,46,100.0,0,24,7,-24.45808570504812
4,46,100.0,0,24,27,-118.01682014312337
4,46,100.0,0,24,28,-38.07172447988876
4,46,100.0,0,24,35,-39.03381036828637
4,46,100.0,0,24,36,-39.3144419341761
4,46,100.0,0,25,1,-13.564233974130843
4,46,100.0,0,25,2,-14.664241977581582
4,46,100.0,0,25,3,-15.655345819451213
4,46,100.0,0,25,4,-16.76889121692443
4,46,100.0,0,25,5,-18.062718718180918
4,46,100.0,0,25,6,-19.54609827434558
4,46,100.0,0,25,7,-21.202601147580708
4,46,100.0,0,25,8,-23.072741486619634
4,46,100.0,0,25,9,-25.018371877953086
4,46,100.0,0,25,10,-27.1961103564081
4,46,100.0,0,25,29,-50.70223559260887
4,46,100.0,0,25,30,-33.87238771637476
4,46,100.0,0,25,34,-34.829924426521075
4,46,100.0,0,26,1,-12.845554897187867
4,46,100.0,0,26,2,-13.43088516750538
4,46,100.0,0,26,3,-14.184776114392548
4,46,100.0,0,26,4,-15.0712396444967
4,46,100.0,0,26,5,-16.101883564390505
4,46,100.0,0,26,6,-17.286006497148264
4,46,100.0,0,26,7,-18.629132509577516
4,46,100.0,0,26,8,-20.147267666068387
4,46,100.0,0,26,9,-21.838422716353307
4,46,100.0,0,26,10,-23.78656473526314
4,46,100.0,0,26,11,-26.112398301645726
4,46,100.0,0,26,12,-28.746394692191416
4,46,100.0,0,26,31,-73.92591545713208
4,46,100.0,0,26,32,-195.95449866596903
4,46,100.0,0,26,33,-28.640532389760438
4,46,100.0,0,27,0,-11.296117699602974
4,46,100.0,0,27,1,-11.87389784023685
4,46,100.0,0,27,2,-12.401099598561814
4,46,100.0,0,27,3,-13.004952586749027
4,46,100.0,0,27,4,-13.71328902059281
4,46,100.0,0,27,5,-14.54086094992158
4,46,100.0,0,27,6,-15.499986440929433
4,46,100.0,0,27,7,-16.604339248074552
4,46,100.0,0,27,8,-17.874839483175265
4,46,100.0,0,27,9,-19.341649295684874
4,46,100.0,0,27,10,-21.070660597099163
4,46,100.0,0,27,11,-23.155905067415233
4,46,100.0,0,27,12,-25.71030290613851
