kper,kstp,k,i,j,SPq
2,10,0,37,32,-21.47329058830826
2,11,0,32,30,-54.13352018271985
2,11,0,33,30,-48.62228198737955
2,11,0,33,31,-1.8959828202565632
2,11,0,33,32,-10.836601414280267
2,11,0,33,33,-2.607750678475554
2,11,0,34,30,-9.73098639280056
2,11,0,34,31,-13.859915175467677
2,11,0,34,33,-5.812610581879767
2,11,0,35,33,-9.95517210904336
2,11,0,36,32,-13.533931521331283
2,11,0,36,33,-15.48476414561162
2,11,0,37,32,-21.41528220129203
2,12,0,32,30,-54.07413014552276
2,12,0,33,30,-48.63240393299907
2,12,0,33,31,-1.9463181668437528
2,12,0,33,32,-10.90888779225827
2,12,0,33,33,-2.689644676094531
2,12,0,34,30,-9.773849386251527
2,12,0,34,31,-13.933190884371697
2,12,0,34,33,-5.9062907028367135
2,12,0,35,33,-10.050960271964414
2,12,0,36,32,-13.616189225123662
2,12,0,36,33,-15.576292963309584
2,12,0,37,32,-21.479507957006604
2,13,0,32,30,-53.98306718543722
2,13,0,33,30,-48.60784484125179
2,13,0,33,31,-1.9632290390183016
2,13,0,33,32,-10.949107730700916
2,13,0,33,33,-2.7405186468846523
2,13,0,34,30,-9.784083292077753
2,13,0,34,31,-13.974326272976441
2,13,0,34,33,-5.9693249560208415
2,13,0,35,33,-10.116420017129599
2,13,0,36,32,-13.667601603157209
2,13,0,36,33,-15.637532920739773
2,13,0,37,32,-21.513780407822537
2,14,0,32,30,-53.844171919196924
2,14,0,33,30,-48.52628782732984
2,14,0,33,31,-1.9221460160330253
2,14,0,33,32,-10.931917215257386
2,14,0,33,33,-2.7349566813157935
2,14,0,34,30,-9.736462749751809
2,14,0,34,31,-13.957721764617759
2,14,0,34,33,-5.9758059203524
2,14,0,35,33,-10.12553115156038
2,14,0,36,32,-13.662281248130512
2,14,0,36,33,-15.6425513913116
2,14,0,37,32,-21.491940454877067
2,15,0,32,30,-53.77479293943259
2,15,0,33,30,-48.5119893763449
2,15,0,33,31,-1.9472557000184452
2,15,0,33,32,-10.981404743191092
2,15,0,33,33,-2.796930311193705
2,15,0,34,30,-9.75559023698031
2,15,0,34,31,-14.007816779365726
2,15,0,34,33,-6.050234799142686
2,15,0,35,33,-10.202920532003418
2,15,0,36,32,-13.725018331833894
2,15,0,36,33,-15.71607040533138
2,15,0,37,32,-21.53916794283566
2,16,0,32,30,-53.64594474752971
2,16,0,33,30,-48.46191883067718
2,16,0,33,31,-1.940985940679866
2,16,0,33,32,-11.000826368532671
2,16,0,33,33,-2.8298925407375464
2,16,0,34,30,-9.743946705445069
2,16,0,34,31,-14.027708589717008
2,16,0,34,33,-6.095686706955803
2,16,0,35,33,-10.251595584070742
2,16,0,36,32,-13.75893043500787
2,16,0,36,33,-15.761162356954742
2,16,0,37,32,-21.558563010812236
2,17,0,32,30,-53.40894029234653
2,17,0,33,30,-48.313495070583144
2,17,0,33,31,-1.8412356419502203
2,17,0,33,32,-10.928155807338499
2,17,0,33,33,-2.771910003017524
2,17,0,34,30,-9.638634120911888
2,17,0,34,31,-13.955055847483322
2,17,0,34,33,-6.0497194596624695
2,17,0,35,33,-10.20889138639427
2,17,0,36,32,-13.70134547298801
2,17,0,36,33,-15.715144039553138
2,17,0,37,32,-21.486846620461165
2,18,0,32,30,-53.135544460909614
2,18,0,33,30,-48.13031384252292
2,18,0,33,31,-1.710052545661597
2,18,0,33,32,-10.825144384260511
2,18,0,33,33,-2.68459937804289
2,18,0,34,30,-9.501153814713689
2,18,0,34,31,-13.851700995155966
2,18,0,34,33,-5.974228351985744
2,18,0,35,33,-10.136600666339518
2,18,0,36,32,-13.614000525563029
2,18,0,36,33,-15.63973392568596
2,18,0,37,32,-21.385345592991712
2,19,0,32,30,-52.84657900368188
2,19,0,33,30,-47.93700276734705
2,19,0,33,31,-1.5718569900067223
2,19,0,33,32,-10.716126334159412
2,19,0,33,33,-2.592162696187188
2,19,0,34,30,-9.355742377264392
2,19,0,34,31,-13.742162141614585
2,19,0,34,33,-5.893823113103508
2,19,0,35,33,-10.059310100528364
2,19,0,36,32,-13.521425316878549
2,19,0,36,33,-15.55942605088444
2,19,0,37,32,-21.278433548487897
2,20,0,32,30,-52.493908402376974
2,20,0,33,30,-47.682151685949634
2,20,0,33,31,-1.3743901788971016
2,20,0,33,32,-10.548425680603373
2,20,0,33,33,-2.441743632638236
2,20,0,34,30,-9.149548902989636
2,20,0,34,31,-13.573690791147897
2,20,0,34,33,-5.755611179239736
2,20,0,35,33,-9.924014309799077
2,20,0,36,32,-13.37052063483759
2,20,0,36,33,-15.421090919330254
2,20,0,37,32,-21.112600522103094
2,21,0,32,30,-52.31304159333456
2,21,0,33,30,-47.598817140342476
2,21,0,33,31,-1.349776784468304
2,21,0,33,32,-10.55485170377392
2,21,0,33,33,-2.4661416199259065
2,21,0,34,30,-9.116302310122819
2,21,0,34,31,-13.579996245264283
2,21,0,34,33,-5.793869975205894
2,21,0,35,33,-9.965401517790724
2,21,0,36,32,-13.396057052142282
2,21,0,36,33,-15.459419918638332
2,21,0,37,32,-21.123697281446084
2,22,0,32,30,-52.16049092376943
2,22,0,33,30,-47.52918996456242
2,22,0,33,31,-1.3369030674730311
2,22,0,33,32,-10.57406634289623
2,22,0,33,33,-2.504274027046449
2,22,0,34,30,-9.095392954378895
2,22,0,34,31,-13.599617167546626
2,22,0,34,33,-5.847072199438344
2,22,0,35,33,-10.022062759548248
2,22,0,36,32,-13.436734040822444
2,22,0,36,33,-15.513080396214718
2,22,0,37,32,-21.15097376041581
2,23,0,32,30,-52.17054135611136
2,23,0,33,30,-47.6103894173425
2,23,0,33,31,-1.4714819611592702
2,23,0,33,32,-10.742019565881037
2,23,0,33,33,-2.6923986009464898
2,23,0,34,30,-9.224093607655277
2,23,0,34,31,-13.768934324002885
2,23,0,34,33,-6.05192985762892
2,23,0,35,33,-10.231094371336553
2,23,0,36,32,-13.629866056264518
2,23,0,36,33,-15.719377110581945
2,23,0,37,32,-21.3329867786739
2,24,0,32,30,-52.30562126230632
2,24,0,33,30,-47.802980451115786
2,24,0,33,31,-1.7130241735015943
2,24,0,33,32,-11.018488150918756
2,24,0,33,33,-2.9908357265001086
2,24,0,34,30,-9.463305395606767
2,24,0,34,31,-14.047761257133288
2,24,0,34,33,-6.368444036890423
2,24,0,35,33,-10.552796405446315
2,24,0,36,32,-13.936024935503951
2,24,0,36,33,-16.038926700922048
2,24,0,37,32,-21.6315174950156
2,25,0,32,30,-52.60668012361873
2,25,0,33,30,-48.1448763204653
2,25,0,33,31,-2.0982995309402668
2,25,0,33,32,-11.440606688065941
2,25,0,33,33,-3.43737960851945
2,25,0,34,30,-9.851425194117724
2,25,0,34,31,-14.473324848714242
2,25,0,34,33,-6.834158708483528
2,25,0,35,33,-11.025059554024551
2,25,0,36,32,-14.393427794499985
2,25,0,36,33,-16.510042376215665
2,25,0,37,32,-22.0861931386313
2,26,0,32,30,-52.940583116768835
2,26,0,33,30,-48.50283662851871
2,26,0,33,31,-2.4933558376754945
2,26,0,33,32,-11.874094356753176
2,26,0,33,33,-3.8983626883269835
2,26,0,34,30,-10.254778045853072
2,26,0,34,31,-14.910778798218075
2,26,0,34,33,-7.314121208075903
