time,spring,awanui,poukawa,pk4,kper,kstp,pk4-spr-diff,pk4-conf-diff
46.0,7.469890228719841,7.529388449251278,7.631178783981978,7.469890228719841,2,45,-0.08698971871984096,4.365057141280159
47.0,7.466603156213783,7.525195375771677,7.6276530021060465,7.466603156213783,2,46,-0.08453496621378331,4.323677543786217
48.0,7.463958277770062,7.521355289316818,7.624313803306106,7.463958277770062,2,47,-0.08227171777006159,4.281655762229938
49.0,7.461021980573178,7.517663368656338,7.621148233558932,7.461021980573178,2,48,-0.08190048057317778,4.239925389426822
50.0,7.458196504258554,7.514143065756515,7.618124931889901,7.458196504258554,2,49,-0.08113556425855428,4.198084195741446
51.0,7.455317066827445,7.510742762436376,7.615222821454664,7.455317066827445,2,50,-0.08077442682744529,4.156296973172554
52.0,7.45228082550051,7.507379814059916,7.61241990767853,7.45228082550051,2,51,-0.08081702550050984,4.11466654449949
53.0,7.448937827246337,7.503957485687892,7.609676437670561,7.448937827246337,2,52,-0.0814223072463367,4.0733428727536625
54.0,9.663857705191989,9.701473858731813,9.689613448057248,9.663857705191989,3,1,-0.023114445191987798,4.3361422948080115
55.0,9.663434578110538,9.701226174649507,9.689434508014614,9.663434578110538,4,1,-0.028054958110537598,4.316799791889462
56.0,9.662841710069761,9.700872805014834,9.689228219122576,9.662841710069761,4,2,-0.03261594006976232,4.297627029930238
57.0,9.662116690480698,9.700407071000923,9.688982682918276,9.662116690480698,4,3,-0.03702279048069812,4.278586419519302
58.0,9.661123254555756,9.699789609116456,9.688681302076684,9.661123254555756,4,4,-0.04447696455575567,4.259814225444243
59.0,9.659915068125136,9.699003133759188,9.688310159268708,9.659915068125136,4,5,-0.05197294812513498,4.241256781874865
60.0,9.658566422356916,9.698055448843801,9.687860508214559,9.658566422356916,4,6,-0.058539742356916946,4.2228397976430845
61.0,9.657102877911719,9.69695936548437,9.687327705828434,9.657102877911719,4,7,-0.06466770791171861,4.204537712088282
62.0,9.655617900980596,9.69574754297634,9.686714230252539,9.655617900980596,4,8,-0.06892249098059544,4.186257059019404
63.0,9.654187852656317,9.69446362448528,9.686029035313542,9.654187852656317,4,9,-0.07115823265631782,4.167921477343683
64.0,9.652689796682054,9.693106827911151,9.685276640130676,9.652689796682054,4,10,-0.075072086682054,4.1496538933179465
65.0,9.650957632529371,9.691630308744138,9.684451178114031,9.650957632529371,4,11,-0.08243515252937073,4.131620427470629
