kper,kstp,time,k,i,j,SPq,weight,std
2,19,20.0,0,36,32,-3.0,0.0,1.8
2,19,20.0,0,36,33,-3.0,0.0,1.8
2,19,20.0,0,37,32,-3.0,0.0,1.8
2,20,21.0,0,32,30,-3.0,0.0,1.8
2,20,21.0,0,33,30,-3.0,0.0,1.8
2,20,21.0,0,33,31,-3.0,0.0,1.8
2,20,21.0,0,33,32,-3.0,0.0,1.8
2,20,21.0,0,33,33,-3.0,0.0,1.8
2,20,21.0,0,34,30,-3.0,0.0,1.8
2,20,21.0,0,34,31,-3.0,0.0,1.8
2,20,21.0,0,34,33,-3.0,0.0,1.8
2,20,21.0,0,35,33,-3.0,0.0,1.8
2,20,21.0,0,36,32,-3.0,0.0,1.8
2,20,21.0,0,36,33,-3.0,0.0,1.8
2,20,21.0,0,37,32,-3.0,0.0,1.8
2,21,22.0,0,32,30,-3.0,0.0,1.8
2,21,22.0,0,33,30,-3.0,0.0,1.8
2,21,22.0,0,33,31,-3.0,0.0,1.8
2,21,22.0,0,33,32,-3.0,0.0,1.8
2,21,22.0,0,33,33,-3.0,0.0,1.8
2,21,22.0,0,34,30,-3.0,0.0,1.8
2,21,22.0,0,34,31,-3.0,0.0,1.8
2,21,22.0,0,34,33,-3.0,0.0,1.8
2,21,22.0,0,35,33,-3.0,0.0,1.8
2,21,22.0,0,36,32,-3.0,0.0,1.8
2,21,22.0,0,36,33,-3.0,0.0,1.8
2,21,22.0,0,37,32,-3.0,0.0,1.8
2,22,23.0,0,32,30,-3.0,0.0,1.8
2,22,23.0,0,33,30,-3.0,0.0,1.8
2,22,23.0,0,33,31,-3.0,0.0,1.8
2,22,23.0,0,33,32,-3.0,0.0,1.8
2,22,23.0,0,33,33,-3.0,0.0,1.8
2,22,23.0,0,34,30,-3.0,0.0,1.8
2,22,23.0,0,34,31,-3.0,0.0,1.8
2,22,23.0,0,34,33,-3.0,0.0,1.8
2,22,23.0,0,35,33,-3.0,0.0,1.8
2,22,23.0,0,36,32,-3.0,0.0,1.8
2,22,23.0,0,36,33,-3.0,0.0,1.8
2,22,23.0,0,37,32,-3.0,0.0,1.8
2,23,24.0,0,32,30,-3.0,0.0,1.8
2,23,24.0,0,33,30,-3.0,0.0,1.8
2,23,24.0,0,33,31,-3.0,0.0,1.8
2,23,24.0,0,33,32,-3.0,0.0,1.8
2,23,24.0,0,33,33,-3.0,0.0,1.8
2,23,24.0,0,34,30,-3.0,0.0,1.8
2,23,24.0,0,34,31,-3.0,0.0,1.8
2,23,24.0,0,34,33,-3.0,0.0,1.8
2,23,24.0,0,35,33,-3.0,0.0,1.8
2,23,24.0,0,36,32,-3.0,0.0,1.8
2,23,24.0,0,36,33,-3.0,0.0,1.8
2,23,24.0,0,37,32,-3.0,0.0,1.8
2,24,25.0,0,32,30,-3.0,0.0,1.8
2,24,25.0,0,33,30,-3.0,0.0,1.8
2,24,25.0,0,33,31,-3.0,0.0,1.8
2,24,25.0,0,33,32,-3.0,0.0,1.8
2,24,25.0,0,33,33,-3.0,0.0,1.8
2,24,25.0,0,34,30,-3.0,0.0,1.8
2,24,25.0,0,34,31,-3.0,0.0,1.8
2,24,25.0,0,34,33,-3.0,0.0,1.8
2,24,25.0,0,35,33,-3.0,0.0,1.8
2,24,25.0,0,36,32,-3.0,0.0,1.8
2,24,25.0,0,36,33,-3.0,0.0,1.8
2,24,25.0,0,37,32,-3.0,0.0,1.8
2,25,26.0,0,32,30,-3.0,0.0,1.8
2,25,26.0,0,33,30,-3.0,0.0,1.8
2,25,26.0,0,33,31,-3.0,0.0,1.8
2,25,26.0,0,33,32,-3.0,0.0,1.8
2,25,26.0,0,33,33,-3.0,0.0,1.8
2,25,26.0,0,34,30,-3.0,0.0,1.8
2,25,26.0,0,34,31,-3.0,0.0,1.8
2,25,26.0,0,34,33,-3.0,0.0,1.8
2,25,26.0,0,35,33,-3.0,0.0,1.8
2,25,26.0,0,36,32,-3.0,0.0,1.8
2,25,26.0,0,36,33,-3.0,0.0,1.8
2,25,26.0,0,37,32,-3.0,0.0,1.8
2,26,27.0,0,32,30,-3.0,0.0,1.8
2,26,27.0,0,33,30,-3.0,0.0,1.8
2,26,27.0,0,33,31,-3.0,0.0,1.8
2,26,27.0,0,33,32,-3.0,0.0,1.8
2,26,27.0,0,33,33,-3.0,0.0,1.8
2,26,27.0,0,34,30,-3.0,0.0,1.8
2,26,27.0,0,34,31,-3.0,0.0,1.8
2,26,27.0,0,34,33,-3.0,0.0,1.8
2,26,27.0,0,35,33,-3.0,0.0,1.8
2,26,27.0,0,36,32,-3.0,0.0,1.8
2,26,27.0,0,36,33,-3.0,0.0,1.8
2,26,27.0,0,37,32,-3.0,0.0,1.8
2,27,28.0,0,32,30,-3.0,0.0,1.8
2,27,28.0,0,33,30,-3.0,0.0,1.8
2,27,28.0,0,33,31,-3.0,0.0,1.8
2,27,28.0,0,33,32,-3.0,0.0,1.8
2,27,28.0,0,33,33,-3.0,0.0,1.8
2,27,28.0,0,34,30,-3.0,0.0,1.8
2,27,28.0,0,34,31,-3.0,0.0,1.8
2,27,28.0,0,34,33,-3.0,0.0,1.8
2,27,28.0,0,35,33,-3.0,0.0,1.8
2,27,28.0,0,36,32,-3.0,0.0,1.8
2,27,28.0,0,36,33,-3.0,0.0,1.8
2,27,28.0,0,37,32,-3.0,0.0,1.8
2,28,29.0,0,32,30,-3.0,0.0,1.8
2,28,29.0,0,33,30,-3.0,0.0,1.8
2,28,29.0,0,33,31,-3.0,0.0,1.8
2,28,29.0,0,33,32,-3.0,0.0,1.8
2,28,29.0,0,33,33,-3.0,0.0,1.8
2,28,29.0,0,34,30,-3.0,0.0,1.8
2,28,29.0,0,34,31,-3.0,0.0,1.8
2,28,29.0,0,34,33,-3.0,0.0,1.8
2,28,29.0,0,35,33,-3.0,0.0,1.8
2,28,29.0,0,36,32,-3.0,0.0,1.8
2,28,29.0,0,36,33,-3.0,0.0,1.8
2,28,29.0,0,37,32,-3.0,0.0,1.8
2,29,30.0,0,32,30,-3.0,0.0,1.8
2,29,30.0,0,33,30,-3.0,0.0,1.8
2,29,30.0,0,33,31,-3.0,0.0,1.8
2,29,30.0,0,33,32,-3.0,0.0,1.8
2,29,30.0,0,33,33,-3.0,0.0,1.8
2,29,30.0,0,34,30,-3.0,0.0,1.8
2,29,30.0,0,34,31,-3.0,0.0,1.8
2,29,30.0,0,34,33,-3.0,0.0,1.8
2,29,30.0,0,35,33,-3.0,0.0,1.8
2,29,30.0,0,36,32,-3.0,0.0,1.8
2,29,30.0,0,36,33,-3.0,0.0,1.8
2,29,30.0,0,37,32,-3.0,0.0,1.8
2,30,31.0,0,32,30,-3.0,0.0,1.8
2,30,31.0,0,33,30,-3.0,0.0,1.8
2,30,31.0,0,33,31,-3.0,0.0,1.8
2,30,31.0,0,33,32,-3.0,0.0,1.8
2,30,31.0,0,33,33,-3.0,0.0,1.8
2,30,31.0,0,34,30,-3.0,0.0,1.8
2,30,31.0,0,34,31,-3.0,0.0,1.8
2,30,31.0,0,34,33,-3.0,0.0,1.8
2,30,31.0,0,35,33,-3.0,0.0,1.8
2,30,31.0,0,36,32,-3.0,0.0,1.8
2,30,31.0,0,36,33,-3.0,0.0,1.8
2,30,31.0,0,37,32,-3.0,0.0,1.8
2,31,32.0,0,32,30,-3.0,0.0,1.8
2,31,32.0,0,33,30,-3.0,0.0,1.8
2,31,32.0,0,33,31,-3.0,0.0,1.8
2,31,32.0,0,33,32,-3.0,0.0,1.8
2,31,32.0,0,33,33,-3.0,0.0,1.8
2,31,32.0,0,34,30,-3.0,0.0,1.8
2,31,32.0,0,34,31,-3.0,0.0,1.8
2,31,32.0,0,34,33,-3.0,0.0,1.8
2,31,32.0,0,35,33,-3.0,0.0,1.8
2,31,32.0,0,36,32,-3.0,0.0,1.8
2,31,32.0,0,36,33,-3.0,0.0,1.8
2,31,32.0,0,37,32,-3.0,0.0,1.8
2,32,33.0,0,32,30,-3.0,0.0,1.8
2,32,33.0,0,33,30,-3.0,0.0,1.8
2,32,33.0,0,33,31,-3.0,0.0,1.8
2,32,33.0,0,33,32,-3.0,0.0,1.8
2,32,33.0,0,33,33,-3.0,0.0,1.8
2,32,33.0,0,34,30,-3.0,0.0,1.8
2,32,33.0,0,34,31,-3.0,0.0,1.8
