Unnamed: 0,time,kper,kstp,time.1,pk4head,confhead,awswhead,pwswhead,springhead,awgwhead,pwgwhead,pk4confdiff,pk4springdiff,pk4awswdiff,pk4pwswdiff,pk4awgwdiff,pk4pwgwdiff,awswgwdiff,pwswgwdiff,firstnegday,springcum,springq,pwtot,pwcum,pwq,awcum,awq,awtot
12,13.0,2,12,13.0,7.679070800757694,13.413368421052631,7.763095203762963,8.131599702453613,7.576342936,7.855727413441642,6.7926568838768935,-5.734297620294937,0.10272786475769458,-0.9372309081686324,-1.3057354068592826,-1.0298631178473112,0.033207411717437,0,0,30,-150,-3,-2844.37598976,-256.1523303785536,-6.7926568838768935,-51397.88824952571,-7.855727413441642,-54392.264239285716
13,14.0,2,13,14.0,7.669056253228097,13.364394736842106,7.75771425138201,8.129799702453612,7.573682327999999,7.674250835199653,6.718657769102314,-5.69533848361401,0.09537392522809718,-1.0063364496057252,-1.3784219006773268,-0.922873033423368,0.0327200326739713,0,0,30,-150,-3,-2685.06200736,-252.25668854165863,-6.718657769102314,-50256.73920992572,-7.674250835199653,-53091.80121728572
14,15.0,2,14,15.0,7.658317905698501,13.31542105263158,7.75171425138201,8.128999702453612,7.571568488,7.4970128128250035,6.64549696715292,-5.657103146933078,0.08674941769850175,-1.0740048794454289,-1.4512903305170308,-0.8193034408884223,0.0322124047836611,0,0,30,-150,-3,-2617.30478448,-248.47118565181333,-6.64549696715292,-48883.73877337714,-7.4970128128250035,-51651.04355785714
15,16.0,2,15,16.0,7.648837318168901,13.266447368421051,7.740761870429629,8.128599702453611,7.568693247999999,7.323913797364721,6.57316497409823,-5.61761005025215,0.08014407016890246,-1.1359118482481811,-1.5237496802721635,-0.7190637751832734,0.0316850480832178,0,0,30,-150,-3,-2584.03596984,-244.7898672288488,-6.57316497409823,-46207.75535316,-7.323913797364721,-48941.791323
16,17.0,2,16,17.0,7.640327090639304,13.217473684210526,7.730428537096296,8.12819970245361,7.566058335999999,7.154856584704786,6.50165239380739,-5.577146593571222,0.07426875463930482,-1.1976376697383158,-1.59540883509563,-0.6220657173468052,0.0311384735505901,0,0,30,-150,-3,-2550.7671552,-241.2072444425781,-6.50165239380739,-43713.94167291428,-7.154856584704786,-46414.708828114286
17,18.0,2,17,18.0,7.633700063109709,13.168500000000002,7.721095203762962,8.12799970245361,7.564369071999999,6.989746260250734,6.430949936725863,-5.534799936890293,0.06933099110970975,-1.2595720837972193,-1.666476582487868,-0.5282231402849913,0.0305731832398796,0,0,30,-150,-3,-2534.285214,-237.71825274497127,-6.430949936725863,-41483.87670531428,-6.989746260250734,-44168.16191931428
18,19.0,2,18,19.0,7.625187155580109,13.119526315789477,7.711190441858201,8.127799702453611,7.563020647999999,6.828490144914594,6.361048418665996,-5.494339160209368,0.06216650758010989,-1.320152352777762,-1.7367616133731725,-0.4374520558341546,0.0299896704144435,0,0,30,-150,-3,-2518.1081712,-234.31821433914303,-6.361048418665996,-39193.841110114285,-6.828490144914594,-41861.949281314286
19,20.0,2,19,20.0,7.621177048050513,13.070552631578948,7.701904727572487,8.127599702453612,7.561759551999999,6.670997742377285,6.291938759611314,-5.449375583528435,0.059417496050514274,-1.3805775482829512,-1.8062725231640764,-0.3496705630877494,0.029388419678221,0,0,30,-150,-3,-2501.9311284,-231.0028041223962,-6.291938759611314,-37056.15545091428,-6.670997742377285,-39708.08657931428
20,21.0,2,20,21.0,7.618600660520915,13.021578947368422,7.692571394239153,8.127199702453613,7.561156447999999,6.51718068759634,6.223611982534398,-5.402978286847507,0.057444212520915805,-1.4401895045994495,-1.8748178128139088,-0.2647987979566357,0.028769907105306,0,0,30,-150,-3,-2469.0510169199997,-227.7680187752647,-6.223611982534398,-34904.990215080004,-6.51718068759634,-37524.041232
21,22.0,2,21,22.0,7.615627072991316,12.972605263157895,7.6859047275724866,8.126999702453613,7.558700672,6.366952696529519,6.156059212228184,-5.356978190166579,0.056926400991316406,-1.50171091497654,-1.9428058898576663,-0.1827588839335723,0.0281346003677622,0,0,30,-150,-3,-2452.8739741199997,-224.61014869985212,-6.156059212228184,-33377.915771880005,-6.366952696529519,-35980.789746
