oname,usecol,obs_name,truth,simulated,residual,nrmse_pct
arr-spq,spq,ob4339,-2.108899046793528,-0.0328925220797258,2.076006524713802,66.50361749815748
arr-spq,spq,ob4340,-2.108899046793528,-0.0565044889510772,2.0523945578424505,65.74722237391383
arr-spq,spq,ob4341,-2.108899046793528,-0.0121365447299983,2.0967625020635294,67.1685227198099
arr-spq,spq,ob4342,-2.108899046793528,-0.0244542535432552,2.0844447932502725,66.77393234371102
arr-spq,spq,ob4343,-2.108899046793528,-0.0310736585384252,2.0778253882551025,66.5618836952007
arr-spq,spq,ob4344,-2.108899046793528,-0.0464516116944882,2.0624474350990396,66.06926023644911
arr-spq,spq,ob4345,-2.108899046793528,-0.0758116426414403,2.0330874041520874,65.12872934476545
arr-spq,spq,ob4346,-2.108899046793528,-0.0658407463559527,2.043058300437575,65.44814099631374
arr-spq,spq,ob4347,-2.108899046793528,-0.0594354812696167,2.049463565523911,65.65332980193887
arr-spq,spq,ob4348,-2.108899046793528,-0.0935348045187751,2.0153642422747526,64.56097853843758
arr-spq,spq,ob4349,-2.108899046793528,-0.0983951798990885,2.0105038668944393,64.40527934320774
arr-spq,spq,ob4350,-2.108899046793528,-0.1608155540842473,1.9480834927092805,62.40568028632426
arr-spq,spq,ob4351,-2.108899046793528,-0.1276894211769104,1.9812096256166174,63.46685598391335
arr-spq,spq,ob4352,-2.108899046793528,-0.1692441745694601,1.9396548722240676,62.13567451027642
arr-spq,spq,ob4353,-2.108899046793528,-0.1787230242513775,1.9301760225421503,61.83202527504308
arr-spq,spq,ob4354,-2.108899046793528,-0.1920064613223075,1.9168925854712202,61.40649837639918
arr-spq,spq,ob4355,-2.108899046793528,-0.2245523361489176,1.8843467106446101,60.36391089661745
arr-spq,spq,ob4356,-1.9966453205536456,-4.469298579597833e-07,1.9966448736237876,63.96131484867995
arr-spq,spq,ob4357,-1.9966453205536456,-0.0217112745445507,1.974934046009095,63.26582157442109
arr-spq,spq,ob4358,-1.9966453205536456,-0.0387016711552998,1.9579436493983458,62.721544461660564
arr-spq,spq,ob4359,-1.9966453205536456,-0.0027511647727342,1.9938941557809113,63.87319726085434
arr-spq,spq,ob4360,-1.9966453205536456,-0.0365749526354335,1.960070367918212,62.78967260735169
arr-spq,spq,ob4361,-1.9966453205536456,-0.0610773210476054,1.9355679995060402,62.00475400652664
arr-spq,spq,ob4362,-1.9966453205536456,-0.0126105160242833,1.9840348045293623,63.557358887223316
arr-spq,spq,ob4363,-1.9966453205536456,-0.0279493663753539,1.9686959541782918,63.06598806325652
arr-spq,spq,ob4364,-1.9966453205536456,-0.0360645040557283,1.9605808164979173,62.80602451987849
arr-spq,spq,ob4365,-1.9966453205536456,-0.0525707105610955,1.94407460999255,62.277258145249746
arr-spq,spq,ob4366,-1.9966453205536456,-0.081550600975742,1.9150947195779036,61.34890482635068
arr-spq,spq,ob4367,-1.9966453205536456,-0.0688298205701248,1.9278154999835209,61.756407357918995
arr-spq,spq,ob4368,-1.9966453205536456,-0.0621918390194178,1.9344534815342278,61.96905109518707
arr-spq,spq,ob4369,-1.9966453205536456,-0.0968032757296253,1.8998420448240203,60.86029458568879
arr-spq,spq,ob4370,-1.9966453205536456,-0.1011615207106451,1.8954837998430005,60.72068083509089
arr-spq,spq,ob4371,-1.9966453205536456,-0.1653554569394964,1.8312898636141492,58.66426678733004
arr-spq,spq,ob4372,-1.9966453205536456,-0.1404257655281923,1.8562195550254534,59.46287442282051
arr-spq,spq,ob4373,-1.9966453205536456,-0.1769866804199722,1.8196586401336734,58.29166755501897
arr-spq,spq,ob4374,-1.9966453205536456,-0.1854753213784761,1.8111699991751695,58.019739059292604
arr-spq,spq,ob4375,-1.9966453205536456,-0.2080672948071189,1.7885780257465267,57.29601881008283
arr-spq,spq,ob4376,-1.9966453205536456,-0.231980418006507,1.7646649025471386,56.52997632442269
arr-spq,spq,ob4377,-1.8961006635926387,-8.46524067936913e-07,1.8960998170685708,60.7404145755459
arr-spq,spq,ob4378,-1.8961006635926387,-0.0232264656550202,1.8728741979376184,59.9963958682561
arr-spq,spq,ob4379,-1.8961006635926387,-0.0403921859106048,1.8557084776820338,59.44650236822717
arr-spq,spq,ob4380,-1.8961006635926387,-0.0029616021655909,1.8931390614270478,60.645568553461985
arr-spq,spq,ob4381,-1.8961006635926387,-0.0378698282417841,1.8582308353508545,59.527304575543894
arr-spq,spq,ob4382,-1.8961006635926387,-0.0626515315901485,1.8334491320024902,58.73343764843506
arr-spq,spq,ob4383,-1.8961006635926387,-0.0127737745537228,1.8833268890389159,60.331241526278745
arr-spq,spq,ob4384,-1.8961006635926387,-0.030059364777918,1.8660412988147208,59.77750806406901
arr-spq,spq,ob4385,-1.8961006635926387,-0.0381765908778765,1.8579240727147623,59.51747761942862
arr-spq,spq,ob4386,-1.8961006635926387,-0.053247621189618,1.8428530424030207,59.03468624896634
arr-spq,spq,ob4387,-1.8961006635926387,-0.0848716106336109,1.8112290529590278,58.02163081165792
arr-spq,spq,ob4388,-1.8961006635926387,-0.0706842064923262,1.8254164571003126,58.47611575044387
arr-spq,spq,ob4389,-1.8961006635926387,-0.0622604192175231,1.8338402443751156,58.745966697509935
arr-spq,spq,ob4390,-1.8961006635926387,-0.0978732287089663,1.7982274348836724,57.6051318146426
arr-spq,spq,ob4391,-1.8961006635926387,-0.1013323271448326,1.7947683364478062,57.494321681567975
arr-spq,spq,ob4392,-1.8961006635926387,-0.1668177358806133,1.7292829277120254,55.39653609061216
arr-spq,spq,ob4393,-1.8961006635926387,-0.1440199003999982,1.7520807631926405,56.12685100655288
