time,spring,awanui,poukawa,pk4,kper,kstp,pk4-aw-diff,pk4-pw-diff,pk4-spr-diff
17.0,8.009246437004073,7.486910260675141,7.847834029081199,8.009246437004073,2,16,-0.9011814970040728,-0.38371310700407335,-0.4447471370040734
18.0,8.008426209343122,7.483762272534292,7.846806679189557,8.008426209343122,2,17,-0.9096946093431226,-0.3830928793431223,-0.4456161793431228
19.0,8.007617881949429,7.480426391504972,7.8458393740265935,8.007617881949429,2,18,-0.9187910419494285,-0.3824845519494291,-0.44615627194942853
20.0,8.006822550245632,7.476939434673528,7.844927311717383,8.006822550245632,2,19,-0.9272814202456319,-0.38188922024563166,-0.44662204024563223
21.0,8.006067147580497,7.4733084767489615,7.844056278621386,8.006067147580497,2,20,-0.9358593575804965,-0.38153381758049676,-0.4464697375804967
22.0,8.005262165112883,7.4696490870039645,7.8432326572318924,8.005262165112883,2,21,-0.9417210351128835,-0.38092883511288367,-0.4481205351128832
23.0,8.00440210174429,7.465968363228638,7.842442841106213,8.00440210174429,2,22,-0.9473371617442901,-0.3804687717442903,-0.44995172174429054
24.0,8.003414795869372,7.46228829541735,7.841693784685273,8.003414795869372,2,23,-0.9522546258693714,-0.37968146586937124,-0.45337820586937116
25.0,8.002251578911611,7.458631220846982,7.840982186029064,8.002251578911611,2,24,-0.956377118911611,-0.37871824891161143,-0.4580186289116117
26.0,8.000847989299926,7.4550179027860235,7.840305011210568,8.000847989299926,2,25,-0.9596401992999262,-0.37751465929992545,-0.4642769992999254
27.0,7.999209206817262,7.451442793572372,7.839649707331137,7.999209206817262,2,26,-0.9626680768172626,-0.37627587681726204,-0.4707737068172628
28.0,7.9972487971624675,7.447923924892307,7.8390144416261895,7.9972487971624675,2,27,-0.9648029071624675,-0.37471546716246706,-0.4794189771624673
29.0,7.99498594367515,7.444435997475025,7.8383975432664705,7.99498594367515,2,28,-0.9671114836751507,-0.37285261367515066,-0.4881068336751504
30.0,7.992552367385537,7.440930960466423,7.837797489473736,7.992552367385537,2,29,-0.9703445773855366,-0.37081903738553734,-0.4944045273855373
31.0,7.989971032489315,7.437370338403572,7.8372226609921265,7.989971032489315,2,30,-0.9743822924893148,-0.36843770248931484,-0.5003767024893149
