kper,kstp,k,i,j,AWq
2,2,0,13,54,-14.94875606160413
2,2,0,13,55,-14.948728787320318
2,2,0,14,10,-14.96288589823294
2,2,0,14,11,-14.963065563128376
2,2,0,14,41,-14.954345198049294
2,2,0,14,42,-14.953096500927606
2,2,0,14,43,-14.952321048508997
2,2,0,14,50,-14.949531951147634
2,2,0,14,51,-14.94939182605462
2,2,0,15,12,-14.963199876400434
2,2,0,15,13,-14.963409859150243
2,2,0,15,41,-14.954352191753571
2,2,0,15,48,-14.950207791370081
2,2,0,15,49,-14.950012106768181
2,2,0,16,14,-14.963532471808435
2,2,0,16,15,-14.963717208859103
2,2,0,16,16,-14.96399497146434
2,2,0,16,17,-14.964367582822305
2,2,0,16,41,-14.95443960159859
2,2,0,16,46,-14.951054815431416
2,2,0,16,47,-14.950764746390606
2,2,0,17,18,-14.9646668498736
2,2,0,17,41,-14.954588824823793
2,2,0,17,42,-14.953430918067573
2,2,0,17,43,-14.952682402364237
2,2,0,17,44,-14.952121576854974
2,2,0,17,45,-14.95172761288197
2,2,0,18,19,-14.964967073907088
2,2,0,18,20,-14.965322081005601
2,2,0,18,40,-14.956436701106815
2,2,0,18,42,-14.953860477334523
2,2,0,19,21,-14.965847720553839
2,2,0,19,40,-14.956853399867168
2,2,0,19,41,-14.955346119896081
2,2,0,20,22,-14.966457980508936
2,2,0,20,39,-14.959421096207828
2,2,0,20,41,-14.955859374050306
2,2,0,21,23,-14.96720402267381
2,2,0,21,36,-14.965529581778775
2,2,0,21,37,-14.964078364860452
2,2,0,21,38,-14.962450949928664
2,2,0,21,39,-14.960618981500104
2,2,0,21,40,-14.958689460309568
2,2,0,21,41,-14.956301435151369
2,2,0,22,24,-14.968127239078079
2,2,0,22,35,-14.968340121124074
2,2,0,23,25,-14.969259963543694
2,2,0,23,26,-14.969832329693329
2,2,0,23,34,-14.971005359504543
2,2,0,24,27,-14.97143937418267
2,2,0,24,28,-14.972060521459317
2,2,0,24,33,-14.973417731209157
2,2,0,25,29,-14.974176739316155
2,2,0,25,33,-14.975796012180448
2,2,0,26,29,-14.976053109635465
2,2,0,26,32,-14.978094072865298
2,2,0,27,30,-14.979272986371292
2,2,0,27,31,-14.980153998597087
2,2,0,27,32,-14.981004835348214
2,2,0,27,33,-14.982014248276498
2,2,0,28,32,-14.984748936290286
2,2,0,28,33,-14.986152604524912
2,2,0,29,31,-14.987113754912501
2,2,0,30,31,-14.991040612447145
2,2,0,31,31,-14.995251219567935
2,2,0,32,30,-14.995842919775733
2,2,0,33,27,-14.987924437490602
2,2,0,33,28,-14.992199247663347
2,2,0,33,29,-14.996350733352743
2,2,0,34,25,-14.980253612690316
2,2,0,34,26,-14.985329309571707
2,2,0,35,22,-14.96598004922423
2,2,0,35,23,-14.97038436938597
2,2,0,35,24,-14.975501456483116
2,2,0,36,14,-14.946999348648085
2,2,0,36,15,-14.94775271071432
2,2,0,36,16,-14.948765743292347
2,2,0,36,17,-14.950030268173231
2,2,0,36,18,-14.951589823800717
2,2,0,36,19,-14.953664959410391
2,2,0,36,20,-14.956349315117377
2,2,0,36,21,-14.959781298562845
2,2,0,37,14,-14.944522880956917
2,2,0,38,12,-14.941068424513825
2,2,0,38,13,-14.941298758524866
2,2,0,39,11,-14.937318840709935
2,2,0,40,9,-14.93310447079289
2,2,0,40,10,-14.930429860332762
2,2,0,41,7,-14.931582996245108
2,2,0,41,8,-14.929747372630171
2,2,0,42,6,-14.928738483507313
2,2,0,43,5,-14.924995781069478
2,2,0,44,3,-14.924165818987483
2,2,0,44,4,-14.92086470523482
2,3,0,2,46,-14.806849942402318
2,3,0,3,46,-14.806783943553024
2,3,0,4,46,-14.806714380294688
2,3,0,5,45,-14.807218579600013
2,3,0,6,45,-14.807035196953603
2,3,0,7,44,-14.807622951581259
2,3,0,8,43,-14.808199193940823
2,3,0,8,54,-14.802358984625487
2,3,0,9,43,-14.807916982502515
2,3,0,9,52,-14.802933935169772
2,3,0,9,53,-14.802633336498767
2,3,0,10,42,-14.80864631456242
2,3,0,10,50,-14.803453497101891
2,3,0,10,51,-14.803087286181103
