kper,kstp,k,i,j,SPq
2,21,0,35,33,-8.776924825135893
2,21,0,36,32,-11.795114895386973
2,21,0,36,33,-13.96592320613911
2,21,0,37,32,-19.009071702770257
2,22,0,32,30,-51.088186604476505
2,22,0,33,30,-46.50066972683817
2,22,0,33,31,-0.4400739345838929
2,22,0,33,32,-9.67879940854948
2,22,0,33,33,-1.5746207753563795
2,22,0,34,30,-7.75565192833551
2,22,0,34,31,-12.479721868831689
2,22,0,34,33,-4.861893427743894
2,22,0,35,33,-8.851483066523656
2,22,0,36,32,-11.858174073649252
2,22,0,36,33,-14.040309798855333
2,22,0,37,32,-19.06481949386341
2,23,0,32,30,-51.11146408548257
2,23,0,33,30,-46.595373277031285
2,23,0,33,31,-0.5878128863935217
2,23,0,33,32,-9.86115265519038
2,23,0,33,33,-1.778769108440656
2,23,0,34,30,-7.902762651884018
2,23,0,34,31,-12.665327993786946
2,23,0,34,33,-5.082722677882089
2,23,0,35,33,-9.078088597516285
2,23,0,36,32,-12.073409619691574
2,23,0,36,33,-14.267062832849888
2,23,0,37,32,-19.2750195873665
2,24,0,32,30,-51.259503068848744
2,24,0,33,30,-46.80121991758756
2,24,0,33,31,-0.8422310684965169
2,24,0,33,32,-10.15168351078637
2,24,0,33,33,-2.092839855021907
2,24,0,34,30,-8.160100545531577
2,24,0,34,31,-12.96015531427065
2,24,0,34,33,-5.414858704369408
2,24,0,35,33,-9.417051313147454
2,24,0,36,32,-12.401392242019483
2,24,0,36,33,-14.606800975653641
2,24,0,37,32,-19.601443578799035
2,25,0,32,30,-51.573264333249085
2,25,0,33,30,-47.156132245501794
2,25,0,33,31,-1.240110859178344
2,25,0,33,32,-10.587540857958174
2,25,0,33,33,-2.5546413056467827
2,25,0,34,30,-8.566067346975046
2,25,0,34,31,-13.401439670454351
2,25,0,34,33,-5.8958584829974825
2,25,0,35,33,-9.90627088525764
2,25,0,36,32,-12.880338152145555
2,25,0,36,33,-15.097839270043892
2,25,0,37,32,-20.083710527753624
