kper,kstp,k,i,j,AWq
1,1,0,20,41,-87.27488607166151
1,1,0,21,23,-135.44280432459766
1,1,0,21,36,-100.16249945247046
1,1,0,21,37,-90.0173127229101
1,1,0,21,38,-80.49642197905484
1,1,0,21,39,-71.47776184419558
1,1,0,21,40,-68.0778252501093
1,1,0,21,41,-73.6717019717637
1,1,0,22,24,-127.79649121306738
1,1,0,22,35,-92.90599737557284
1,1,0,23,25,-113.32997828463328
1,1,0,23,26,-108.32613736425492
1,1,0,23,34,-85.47387985071407
1,1,0,24,27,-98.678970806449
1,1,0,24,28,-94.42790503435788
1,1,0,24,33,-77.3153975314782
1,1,0,25,29,-82.67952089819312
1,1,0,25,33,-63.056109440613
1,1,0,26,29,-84.71624776114868
1,1,0,26,32,-61.439783727382974
1,1,0,27,30,82.74115160210602
1,1,0,27,31,-63.10098682594946
1,1,0,27,32,-46.93554712790444
1,1,0,27,33,-43.164472312694556
1,1,0,28,32,-48.671939753408424
1,1,0,28,33,-38.788793212435166
1,1,0,29,31,-52.78953722273968
1,1,0,30,31,-49.55073296705132
1,1,0,31,31,-39.827352953581794
1,1,0,32,30,-34.96416663820207
1,1,0,33,27,-51.20543500079441
1,1,0,33,28,-40.445434816217585
1,1,0,33,29,-30.66063908658157
1,1,0,34,25,-56.464245206945975
1,1,0,34,26,-49.315549882572896
1,1,0,35,22,-60.95258312148587
1,1,0,35,23,-53.41493762481491
1,1,0,35,24,-50.08087418467824
1,1,0,36,14,-98.29541731402901
1,1,0,36,15,-85.15764650573567
1,1,0,36,16,-76.76690842802304
1,1,0,36,17,-70.1385407804928
1,1,0,36,18,-63.52193840980067
1,1,0,36,19,-58.02894493453141
1,1,0,36,20,-53.289420292099976
1,1,0,36,21,-50.661159721012154
1,1,0,37,14,-78.29192547643584
1,1,0,38,12,-87.99210815028766
1,1,0,38,13,-72.94906580597512
1,1,0,39,11,-79.29606056851276
1,1,0,40,9,-78.70564208079145
1,1,0,40,10,-49.96422732790211
1,1,0,41,7,-94.09151803460077
1,1,0,41,8,-67.14285387589803
1,1,0,42,6,-91.15764334324581
1,1,0,43,5,-82.66690381509648
1,1,0,44,3,-28.69576290536736
1,1,0,44,4,-23.948351532942638
2,1,0,2,46,-26.439731698900914
2,1,0,3,46,-0.116087919837355
2,1,0,4,46,10.725538668972831
2,1,0,5,45,-78.7694081782812
2,1,0,6,45,-74.30854307701634
2,1,0,7,44,-76.88647283276794
2,1,0,8,43,-72.02097347031281
2,1,0,8,54,-2.8164584695540498
2,1,0,9,43,-64.33019706718164
2,1,0,9,52,-2.601098965557071
2,1,0,9,53,2.9786540319934147
2,1,0,10,42,-65.16529935892027
2,1,0,10,50,3.5987172060904413
2,1,0,10,51,9.581811206263183
2,1,0,11,42,-52.650560289687746
2,1,0,11,48,7.896956329808745
2,1,0,11,49,-1.3292756065302456
2,1,0,12,9,-111.79230409147897
2,1,0,12,42,-46.2828682077195
2,1,0,12,46,59.87743767297195
2,1,0,12,47,-7.404445896617744
2,1,0,13,10,-126.24340033149542
2,1,0,13,42,-34.63891857849296
2,1,0,13,44,25.29156945400223
2,1,0,13,45,14.696475999565337
2,1,0,13,52,-140.14965697030595
2,1,0,13,53,-134.80142396683925
2,1,0,13,54,-131.5864670417568
2,1,0,13,55,-130.81915200763115
2,1,0,14,10,-136.4132168429487
2,1,0,14,11,-139.82620738850096
2,1,0,14,41,-39.13322105748966
2,1,0,14,42,-17.782542307353538
2,1,0,14,43,50.000573682294544
2,1,0,14,50,-133.522239399794
2,1,0,14,51,-131.57950709360512
2,1,0,15,12,-150.27313860809807
2,1,0,15,13,-160.12806853628877
2,1,0,15,41,-17.997558896249984
2,1,0,15,48,-129.34756078949476
2,1,0,15,49,-131.24444640676563
2,1,0,16,14,55.31888209183364
2,1,0,16,15,-154.60771455339886
2,1,0,16,16,-153.25273414867956
2,1,0,16,17,-151.7063463398066
2,1,0,16,41,-12.357889236674282
2,1,0,16,46,-125.5374252889643
2,1,0,16,47,-123.5922177395812
2,1,0,17,18,-150.10311634766595
2,1,0,17,41,-23.03369553336165
2,1,0,17,42,-123.80440869393306
2,1,0,17,43,-115.42869846446888
