kper,kstp,k,i,j,PWq
2,10,0,43,38,-22.884777737003105
2,10,0,44,38,-34.92562208420975
2,10,0,45,37,151.09234051568092
2,10,0,45,38,-44.934599022206385
2,11,0,22,40,-80.62877138363001
2,11,0,23,40,-59.25544807088909
2,11,0,24,39,-60.13263831603069
2,11,0,25,39,-27.27860743203712
2,11,0,26,38,-57.9952040223385
2,11,0,27,38,-56.7767793848011
2,11,0,28,38,36.69201018682759
2,11,0,29,37,-33.43478690265704
2,11,0,30,37,-14.946475454595884
2,11,0,31,37,3.858181280513463
2,11,0,32,36,-4.6899928920076945
2,11,0,33,36,-0.2414922772702539
2,11,0,34,37,-9.35154619475361
2,11,0,35,37,-5.741116553886059
2,11,0,36,37,-17.168332603882618
2,11,0,37,37,-7.514819377407321
2,11,0,38,37,-1.7474547383699246
2,11,0,39,38,-10.410940422421845
2,11,0,40,38,-6.68501121878046
2,11,0,41,38,-7.831451274504047
2,11,0,42,38,-15.508713138352846
2,11,0,43,38,-23.122150061554862
2,11,0,44,38,-35.1602055784424
2,11,0,45,37,150.86230835820402
2,11,0,45,38,-45.16419321168371
2,12,0,22,40,-80.70365338979525
2,12,0,23,40,-59.37501513901452
2,12,0,24,39,-60.292428610223396
2,12,0,25,39,-27.4553219555861
2,12,0,26,38,-58.177746580465055
2,12,0,27,38,-56.94622382491934
2,12,0,28,38,36.64780335830892
2,12,0,29,37,-33.555837444020426
2,12,0,30,37,-15.098061742314485
2,12,0,31,37,3.684823423146895
2,12,0,32,36,-4.896469510417091
2,12,0,33,36,-0.45551276909770877
2,12,0,34,37,-9.559000764841926
2,12,0,35,37,-5.950012163537849
2,12,0,36,37,-17.3777900563
2,12,0,37,37,-7.725144784850045
2,12,0,38,37,-1.9636698231714718
2,12,0,39,38,-10.617550855831382
2,12,0,40,38,-6.8920368262686225
2,12,0,41,38,-8.037619038276148
2,12,0,42,38,-15.713122793296634
2,12,0,43,38,-23.324042109499715
2,12,0,44,38,-35.358355984532864
2,12,0,45,37,150.6654374732284
2,12,0,45,38,-45.355406479969474
2,13,0,22,40,-80.78098679140544
2,13,0,23,40,-59.49525899210937
2,13,0,24,39,-60.45563440074886
2,13,0,25,39,-27.634544880096087
2,13,0,26,38,-58.365355304051604
2,13,0,27,38,-57.11948087254382
2,13,0,28,38,36.59693322117778
2,13,0,29,37,-33.68251044668773
2,13,0,30,37,-15.252853370936123
2,13,0,31,37,3.508243496332284
2,13,0,32,36,-5.111379629267162
2,13,0,33,36,-0.6783304099392353
2,13,0,34,37,-9.771814242766823
2,13,0,35,37,-6.16476369659847
2,13,0,36,37,-17.59341856176661
2,13,0,37,37,-7.942174547243326
2,13,0,38,37,-2.1881848075435073
2,13,0,39,38,-10.829312247375015
2,13,0,40,38,-7.104578159695279
2,13,0,41,38,-8.249338561525747
2,13,0,42,38,-15.92291284285102
2,13,0,43,38,-23.530924424016348
2,13,0,44,38,-35.560531194853866
2,13,0,45,37,150.46137397509574
2,13,0,45,38,-45.54901264502689
2,14,0,22,40,-80.586278170799
2,14,0,23,40,-59.34266286258128
2,14,0,24,39,-60.34609935355036
2,14,0,25,39,-27.542343432820417
2,14,0,26,38,-58.28252321305058
2,14,0,27,38,-57.03091572428707
2,14,0,28,38,36.67792558443
2,14,0,29,37,-33.5860084825739
2,14,0,30,37,-15.157011982161634
2,14,0,31,37,3.5949153663161724
2,14,0,32,36,-5.058462022311346
2,14,0,33,36,-0.6334162421935616
2,14,0,34,37,-9.71620588075507
2,14,0,35,37,-6.1113903342607045
2,14,0,36,37,-17.54122571829157
2,14,0,37,37,-7.891730606873352
2,14,0,38,37,-2.14468643957764
2,14,0,39,38,-10.772433562495394
