time,spring,awanui,poukawa,pk4,pk4-spr-diff,pk4-conf-diff
58.0,8.257606359494433,9.101212108086713,8.699367728411945,8.257606359494433,-0.7098920694944333,5.683496570505566
59.0,8.253928766416125,9.099189664920589,8.69766527913494,8.253928766416125,-0.7146620964161254,5.6674001235838745
60.0,8.250001070248727,9.097085865522974,8.695953074838435,8.250001070248727,-0.7194385702487267,5.651553789751272
61.0,8.245919654679934,9.094896400817778,8.694230337199999,8.245919654679934,-0.7232725946799343,5.635861175320066
62.0,8.241721275200655,9.092618566445166,8.69249564739085,8.241721275200655,-0.7266657152006548,5.620285524799344
63.0,8.237556302393303,9.090253226702433,8.690748818718884,8.237556302393303,-0.7282405123933033,5.604676467606698
64.0,8.233560950972826,9.087805679809373,8.68898967004499,8.233560950972826,-0.7279109509728263,5.588897789027174
65.0,8.229545594612429,9.085280582636443,8.687214719481249,8.229545594612429,-0.7293074946124287,5.573139115387571
66.0,8.225218294684256,9.08267713703476,8.685419380592592,8.225218294684256,-0.7340754346842555,5.557692385315745
67.0,8.220804443673078,9.079995009943596,8.683604551904201,8.220804443673078,-0.7367092036730778,5.542332196326923
68.0,8.216441550721342,9.077236497226497,8.681770438195974,8.216441550721342,-0.7377272607213419,5.526921059278658
69.0,8.212057068461574,9.074404225859546,8.679915167612991,8.212057068461574,-0.739342778461574,5.511531511538426
70.0,8.207257764880561,9.071494329047221,8.678033431092285,8.207257764880561,-0.745495864880561,5.49655678511944
71.0,8.202178505544241,9.06850132335161,8.676125358874733,8.202178505544241,-0.7507499355442411,5.481862014455759
72.0,8.196944249073715,9.065421001640518,8.674191044699963,8.196944249073715,-0.7548490090737152,5.4673222409262845
73.0,8.191524810250549,9.062249544129584,8.67222894220259,8.191524810250549,-0.7593343302505486,5.452967649749452
74.0,8.185991338645731,9.058984644100624,8.67023852431208,8.185991338645731,-0.7630865786457317,5.438727081354269
75.0,8.180346226368286,9.05562499606977,8.668218540962183,8.180346226368286,-0.7667747963682858,5.424598163631714
76.0,8.174806659086485,9.052173560327864,8.666170067591539,8.174806659086485,-0.7679018990864854,5.410363700913514
77.0,8.169347269092466,9.04863537269707,8.664091782574182,8.169347269092466,-0.7689186990924659,5.396049060907535
78.0,8.16398497924861,9.045016848920756,8.661982923963947,8.16398497924861,-0.7694611692486104,5.3816373207513895
79.0,8.158740751505048,9.041325402407224,8.659842956996918,8.158740751505048,-0.7695026515050483,5.367107518494951
80.0,8.15363429430275,9.037569175602206,8.657671552677071,8.15363429430275,-0.7690628643027493,5.352439945697251
81.0,8.148635274378552,9.033756025799018,8.655468078293275,8.148635274378552,-0.7687305143785528,5.337664935621447
82.0,8.143768028410326,9.029893839862437,8.653232695673072,8.143768028410326,-0.7679585084103264,5.322758141589674
83.0,8.138970300093002,9.025989281217978,8.650964867009096,8.138970300093002,-0.7677322000930014,5.307781839906998
84.0,8.134146792729416,9.022046504142548,8.648663841019236,8.134146792729416,-0.7685753627294156,5.2928313172705845
85.0,8.129234536173048,9.018066984940619,8.646329285337874,8.129234536173048,-0.7702821561730477,5.277969543826952
86.0,8.124478214241325,9.014054669483151,8.643964238023983,8.124478214241325,-0.769335354241325,5.262951835758676
87.0,8.11980155185779,9.01001366414749,8.641568526780265,8.11980155185779,-0.7689920318577901,5.24785446814221
88.0,8.115059374069393,9.00594563469223,8.63914124104819,8.115059374069393,-0.7702498540693927,5.232822615930607
89.0,8.110263666346912,9.001850923664739,8.636683097628046,8.110263666346912,-0.7715493763469112,5.217844283653088
90.0,8.1054504923692,8.997729687142199,8.634195086459917,8.1054504923692,-0.7725457323692009,5.2028834276308
91.0,8.100660835061252,8.993582675310648,8.63167825958705,8.100660835061252,-0.7730894050612518,5.1878990549387485
92.0,8.095970988661009,8.989412496417362,8.629134063116009,8.095970988661009,-0.7726852786610081,5.174553911338991
93.0,8.091388355068045,8.985222768299318,8.626563255582306,8.091388355068045,-0.7720074050680443,5.161101554931955
94.0,8.08700370245644,8.981019155736066,8.623967530834138,8.08700370245644,-0.7700989424564408,5.1474512075435594
95.0,8.082810717668815,8.976808323349632,8.62134766653955,8.082810717668815,-0.7679535776688153,5.133609202331185
96.0,8.07872968212944,8.972596033713108,8.618703734362052,8.07872968212944,-0.76649158212944,5.1196552478705595
97.0,8.074720228071042,8.968386676725522,8.616036268476892,8.074720228071042,-0.765434518071042,5.105629701928958
98.0,8.070798202365731,8.96418397672678,8.613346462712794,8.070798202365731,-0.7641982023657308,5.091516737634269
99.0,8.066914994555273,8.959990366583046,8.610634885758099,8.066914994555273,-0.7634939445552726,5.077364955444727
100.0,8.063030521971159,8.955806780402717,8.607902192992832,8.063030521971159,-0.7633083019711595,5.063214428028841
101.0,8.059336592793011,8.95163646565,8.605151525590882,8.059336592793011,-0.7609836527930112,5.048873367206989
102.0,8.055886292153227,8.947484922793635,8.602384687071055,8.055886292153227,-0.7577612921532273,5.034288677846773
103.0,8.052590128308669,8.943357393309116,8.599602023020038,8.052590128308669,-0.7552567983086691,5.019549841691331
104.0,8.049530679374474,8.939260217615368,8.59680573716112,8.049530679374474,-0.7516735393744742,5.004574300625526
105.0,8.046693478982089,8.935200018818344,8.593997129092449,8.046693478982089,-0.7480011689820891,4.989376511017911
106.0,8.043990803765698,8.931181964179729,8.591176784165336,8.043990803765698,-0.7451574737656985,4.974044186234302
