kper,kstp,k,i,j,CONFq
1,1,0,8,49,4.290901651013346
1,1,0,8,50,4.3686880411510565
1,1,0,8,51,4.458063707296164
1,1,0,8,52,4.557122347377728
1,1,0,8,53,4.6615560482884835
1,1,0,8,54,4.776851069300221
1,1,0,9,12,3.829017378151409
1,1,0,9,13,3.6615503619128678
1,1,0,9,14,3.5112324341809202
1,1,0,9,15,3.3765346212236462
1,1,0,9,16,3.2549834175891785
1,1,0,9,17,3.1438598717820323
1,1,0,9,18,3.04106232533122
1,1,0,9,19,2.945730801405549
1,1,0,9,20,2.857783606829063
1,1,0,9,21,2.7776454144770266
1,1,0,9,22,2.7060420955615
1,1,0,9,23,2.643773056692128
1,1,0,9,24,2.5916120185386653
1,1,0,9,25,2.5502697167275645
1,1,0,9,26,2.5203657234565107
1,1,0,9,27,2.502423279533131
1,1,0,9,28,2.4968829732083915
1,1,0,9,29,2.504125637658669
1,1,0,9,30,2.5245015510734667
1,1,0,9,31,2.5583640052303025
1,1,0,9,32,2.6061065947630517
1,1,0,9,33,2.6682059276390824
1,1,0,9,34,2.745272272819834
1,1,0,9,35,2.838108987064679
1,1,0,9,36,2.9477796137518766
1,1,0,9,37,3.075683887732648
1,1,0,9,38,3.223653464053312
1,1,0,9,39,3.394083654562559
1,1,0,9,40,3.59003311526377
1,1,0,9,41,3.81458079104703
1,1,0,9,42,4.065094208084281
1,1,0,9,43,4.298895679750226
1,1,0,9,44,4.2520354764052986
1,1,0,9,45,4.245133758067375
1,1,0,9,46,4.261823209943596
1,1,0,9,47,4.303205961934527
1,1,0,9,48,4.36509768158837
1,1,0,9,49,4.444046234363801
1,1,0,9,50,4.533405385531003
1,1,0,9,51,4.633340682169374
1,1,0,9,52,4.743185006462099
1,1,0,9,53,4.839977478283648
1,1,0,9,54,4.930976071169782
1,1,0,10,11,4.2298187120359465
1,1,0,10,12,4.032427823601077
1,1,0,10,13,3.855439339534593
1,1,0,10,14,3.697889849383614
1,1,0,10,15,3.5576126960274337
1,1,0,10,16,3.431296827266184
1,1,0,10,17,3.315461153766277
1,1,0,10,18,3.2076289028728517
1,1,0,10,19,3.1068275958729963
1,1,0,10,20,3.0131694960328446
1,1,0,10,21,2.9273415401264185
1,1,0,10,22,2.850272550556049
1,1,0,10,23,2.7829309530039144
1,1,0,10,24,2.7262228650377995
1,1,0,10,25,2.6809463184271856
1,1,0,10,26,2.6477727041897747
1,1,0,10,27,2.6272496076848544
1,1,0,10,28,2.619819931289374
1,1,0,10,29,2.625850892532709
1,1,0,10,30,2.645668414944458
1,1,0,10,31,2.6795950505543953
1,1,0,10,32,2.7279928504985005
1,1,0,10,33,2.791315122341903
1,1,0,10,34,2.8701704838456994
1,1,0,10,35,2.9653986307311015
1,1,0,10,36,3.0781529676651527
1,1,0,10,37,3.209988485244928
1,1,0,10,38,3.3629798746102857
1,1,0,10,39,3.539987168893717
1,1,0,10,40,3.745484326141943
1,1,0,10,41,3.9883995228931397
1,1,0,10,42,4.292533477421793
1,1,0,10,43,4.320123684518244
1,1,0,10,44,4.320557787209339
1,1,0,10,45,4.334335559470139
1,1,0,10,46,4.370420128761841
1,1,0,10,47,4.439087271839075
1,1,0,10,48,4.5243989955342325
1,1,0,10,49,4.626818606984793
1,1,0,10,50,4.728183332835599
1,1,0,10,51,4.840013363310476
1,1,0,10,52,4.982460454091543
1,1,0,10,53,5.102193898482566
1,1,0,10,54,5.219389426453489
1,1,0,10,55,5.379481974306827
1,1,0,11,10,4.705906645880013
1,1,0,11,11,4.465825038574504
1,1,0,11,12,4.252735935950803
1,1,0,11,13,4.066005799193853
1,1,0,11,14,3.902326030042536
1,1,0,11,15,3.758829202651146
1,1,0,11,16,3.630373402189301
1,1,0,11,17,3.511530125021519
1,1,0,11,18,3.39892858213447
1,1,0,11,19,3.2918856752144254
1,1,0,11,20,3.191208913021482
1,1,0,11,21,3.098183875835023
1,1,0,11,22,3.014156787653773
1,1,0,11,23,2.9403804644112412
1,1,0,11,24,2.877948002434408
1,1,0,11,25,2.827766429276906
1,1,0,11,26,2.7905567075453312
1,1,0,11,27,2.7668733203172007
1,1,0,11,28,2.757136446082024
1,1,0,11,29,2.761669894875906
1,1,0,11,30,2.7807403142118687
1,1,0,11,31,2.8145975526369718
1,1,0,11,32,2.863520959486376
1,1,0,11,33,2.9278792219643126
1,1,0,11,34,3.008209316106777
1,1,0,11,35,3.105312288264617
1,1,0,11,36,3.2203516590506602
1,1,0,11,37,3.354928602822522
1,1,0,11,38,3.5111069432429236
1,1,0,11,39,3.6914003351392086
1,1,0,11,40,3.8988876871051463
1,1,0,11,41,4.137989374914323
1,1,0,11,42,4.41655844766418
1,1,0,11,43,4.407716733320655
1,1,0,11,44,4.414952216082266
1,1,0,11,45,4.440541138760143
1,1,0,11,46,4.485984967945665
1,1,0,11,47,4.598329952141402
1,1,0,11,48,4.707165845449216
1,1,0,11,49,4.851903062017264
1,1,0,11,50,4.99388733504809
1,1,0,11,51,5.138094907861863
1,1,0,11,52,5.288082443511021
1,1,0,11,53,5.411379495952973
1,1,0,11,54,5.510117407085515
1,1,0,11,55,5.585854382012325
1,1,0,12,9,5.339096721613556
1,1,0,12,10,4.98777761084817
1,1,0,12,11,4.715019016218163
1,1,0,12,12,4.485434926728706
1,1,0,12,13,4.291043135830066
1,1,0,12,14,4.1230072603511445
1,1,0,12,15,3.9804590327032656
1,1,0,12,16,3.8544187333685116
1,1,0,12,17,3.735140891381686
1,1,0,12,18,3.617709205210172
1,1,0,12,19,3.502914429956176
1,1,0,12,20,3.393267942012196
1,1,0,12,21,3.2910767009976176
1,1,0,12,22,3.1982708710166126
1,1,0,12,23,3.1164681867143322
1,1,0,12,24,3.046985576801797
1,1,0,12,25,2.9908441033642195
1,1,0,12,26,2.948796710785855
1,1,0,12,27,2.9213749329092327
1,1,0,12,28,2.9089421006723146
1,1,0,12,29,2.9117430819580807
1,1,0,12,30,2.929946512991169
1,1,0,12,31,2.9636829349237157
1,1,0,12,32,3.0130892443371113
1,1,0,12,33,3.0783735066851303
1,1,0,12,34,3.1599114906029158
1,1,0,12,35,3.2583750800450417
1,1,0,12,36,3.3748709020989516
1,1,0,12,37,3.511030019309441
1,1,0,12,38,3.6689286343194656
1,1,0,12,39,3.850633016498426
1,1,0,12,40,4.057072165200257
1,1,0,12,41,4.286099757869845
1,1,0,12,42,4.532214040408796
1,1,0,12,43,4.51902616777633
1,1,0,12,44,4.530839853749503
1,1,0,12,45,4.5669113799793095
1,1,0,12,46,4.574970170210923
1,1,0,12,47,4.802150737228036
1,1,0,12,48,4.963935346599568
1,1,0,12,49,5.129102216801613
1,1,0,12,50,5.301075576467957
1,1,0,12,51,5.475066796001258
1,1,0,12,52,5.666065352891016
1,1,0,12,53,5.791616087449173
1,1,0,12,54,5.870996484098621
1,1,0,12,55,5.915619384526101
1,1,0,13,8,4.719735418369071
1,1,0,13,9,5.006491812408893
1,1,0,13,10,5.2347384143122575
1,1,0,13,11,4.962859334926318
1,1,0,13,12,4.723247542203676
1,1,0,13,13,4.5287468426800395
1,1,0,13,14,4.3561043256030665
1,1,0,13,15,4.222522102419305
1,1,0,13,16,4.107787057754788
1,1,0,13,17,3.992187061950725
1,1,0,13,18,3.868353464747962
1,1,0,13,19,3.74253806670022
1,1,0,13,20,3.6208902345086287
1,1,0,13,21,3.506921625995137
1,1,0,13,22,3.403095884821603
1,1,0,13,23,3.3113991283206623
1,1,0,13,24,3.2333789582090606
1,1,0,13,25,3.1701491899829453
1,1,0,13,26,3.1224514423692327
1,1,0,13,27,3.0907444006404727
1,1,0,13,28,3.0752886715493037
1,1,0,13,29,3.076210519232779
1,1,0,13,30,3.093542191562406
1,1,0,13,31,3.127248332496233
1,1,0,13,32,3.177257510074133
1,1,0,13,33,3.2435232253959647
1,1,0,13,34,3.32613787582347
1,1,0,13,35,3.4255134861344505
1,1,0,13,36,3.542618135663483
1,1,0,13,37,3.679200006182123
1,1,0,13,38,3.837811727557664
1,1,0,13,39,4.021210174291861
1,1,0,13,40,4.230120304394584
1,1,0,13,41,4.456099644462341
1,1,0,13,42,4.654600384858034
