name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:34_idx2:20,0,1,-2,2,0,0.999997,-1.99999,1.99999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:34_idx2:21,0,1,-2,2,0,0.999997,-1.99999,1.99999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:34_idx2:22,0,1,-2,2,0,0.999997,-1.99999,1.99999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:34_idx2:31,0,1,-2,2,0,0.99947,-1.99894,1.99894
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:34_idx2:32,0,1,-2,2,0,0.999398,-1.9988,1.9988
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:35_idx2:14,0,1,-2,2,0,0.999997,-1.99999,1.99999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:35_idx2:15,0,1,-2,2,0,0.999997,-1.99999,1.99999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:35_idx2:16,0,1,-2,2,0,0.999997,-1.99999,1.99999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:35_idx2:33,0,1,-2,2,0,0.999606,-1.99921,1.99921
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:36_idx2:12,0,1,-2,2,0,0.999997,-1.99999,1.99999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:36_idx2:13,0,1,-2,2,0,0.999997,-1.99999,1.99999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:36_idx2:34,0,1,-2,2,0,0.999812,-1.99962,1.99962
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:37_idx2:11,0,1,-2,2,0,0.999997,-1.99999,1.99999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:37_idx2:35,0,1,-2,2,0,0.999926,-1.99985,1.99985
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:38_idx2:9,0,1,-2,2,0,0.999997,-1.99999,1.99999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:38_idx2:10,0,1,-2,2,0,0.999997,-1.99999,1.99999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:38_idx2:36,0,1,-2,2,0,0.999975,-1.99995,1.99995
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:39_idx2:7,0,1,-2,2,0,0.999997,-1.99999,1.99999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:39_idx2:8,0,1,-2,2,0,0.999997,-1.99999,1.99999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:39_idx2:37,0,1,-2,2,0,0.999993,-1.99999,1.99999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:40_idx2:5,0,1,-2,2,0,0.999997,-1.99999,1.99999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:40_idx2:6,0,1,-2,2,0,0.999997,-1.99999,1.99999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:40_idx2:38,0,1,-2,2,0,0.999997,-1.99999,1.99999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:41_idx2:4,0,1,-2,2,0,0.999997,-1.99999,1.99999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:41_idx2:38,0,1,-2,2,0,0.999997,-1.99999,1.99999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:42_idx2:2,0,1,-2,2,0,0.999997,-1.99999,1.99999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:42_idx2:3,0,1,-2,2,0,0.999997,-1.99999,1.99999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:42_idx2:38,0,1,-2,2,0,0.999997,-1.99999,1.99999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:43_idx2:1,0,1,-2,2,0,0.999997,-1.99999,1.99999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:43_idx2:39,0,1,-2,2,0,0.999997,-1.99999,1.99999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:44_idx2:39,0,1,-2,2,0,0.999997,-1.99999,1.99999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:45_idx2:39,0,1,-2,2,0,0.999997,-1.99999,1.99999
