kper,kstp,k,i,j,PWq
2,11,0,29,37,-7.25407248053367
2,11,0,30,37,-7.575603036705783
2,11,0,31,37,-7.73306936830153
2,11,0,32,36,-8.159563179514988
2,11,0,33,36,-8.441154312783445
2,11,0,34,37,-8.863956775467248
2,11,0,35,37,-8.993737291869715
2,11,0,36,37,-9.165746517809405
2,11,0,37,37,-9.352743849547236
2,11,0,38,37,-9.54687899751924
2,11,0,39,38,-9.800814688526023
2,11,0,40,38,-9.872159763987947
2,11,0,41,38,-9.955375858401268
2,11,0,42,38,-10.030549440970958
2,11,0,43,38,-10.089408503747876
2,11,0,44,38,-10.127304642801493
2,11,0,45,37,-10.182018969882485
2,11,0,45,38,-10.142006247457545
2,12,0,22,40,-5.397487650374665
2,12,0,23,40,-5.4614030297596745
2,12,0,24,39,-5.686672930939405
2,12,0,25,39,-5.7819350524750845
2,12,0,26,38,-6.035703145864954
2,12,0,27,38,-6.144241781322198
2,12,0,28,38,-6.176947538557852
2,12,0,29,37,-6.825962410475598
2,12,0,30,37,-7.13812739244717
2,12,0,31,37,-7.29089271439601
2,12,0,32,36,-7.704923733010484
2,12,0,33,36,-7.9793760454891745
2,12,0,34,37,-8.392748942902076
2,12,0,35,37,-8.519528171447972
2,12,0,36,37,-8.687712068936875
2,12,0,37,37,-8.870722657021812
2,12,0,38,37,-9.06089606058621
2,12,0,39,38,-9.311578114338525
2,12,0,40,38,-9.381773061063889
2,12,0,41,38,-9.463814594149637
2,12,0,42,38,-9.53812558614803
2,12,0,43,38,-9.596532829182143
2,12,0,44,38,-9.634396376208018
2,12,0,45,37,-9.687507537304814
2,12,0,45,38,-9.64938245840773
2,13,0,22,40,-5.04183109240302
2,13,0,23,40,-5.104859680836973
2,13,0,24,39,-5.324067619967284
2,13,0,25,39,-5.416507433146397
2,13,0,26,38,-5.662986372777159
2,13,0,27,38,-5.768810198065476
2,13,0,28,38,-5.807345980034793
2,13,0,29,37,-6.430783333312944
2,13,0,30,37,-6.73272108972513
2,13,0,31,37,-6.8803733996695415
2,13,0,32,36,-7.2807694113403105
2,13,0,33,36,-7.547075980498497
2,13,0,34,37,-7.9491866243262415
2,13,0,35,37,-8.072435009447979
2,13,0,36,37,-8.23605625727329
2,13,0,37,37,-8.414237381925954
2,13,0,38,37,-8.599529676718102
2,13,0,39,38,-8.845264865964095
2,13,0,40,38,-8.913900035069965
2,13,0,41,38,-8.994250980161462
2,13,0,42,38,-9.067187395080897
2,13,0,43,38,-9.124689828343328
2,13,0,44,38,-9.162168378326008
2,13,0,45,37,-9.213566227956864
2,13,0,45,38,-9.177232075579331
2,14,0,22,40,-4.720138482804933
2,14,0,23,40,-4.781947344968038
2,14,0,24,39,-4.9945529713962635
2,14,0,25,39,-5.083999443134277
2,14,0,26,38,-5.322681494097152
2,14,0,27,38,-5.4255110008755105
2,14,0,28,38,-5.46867015345793
2,14,0,29,37,-6.066295468580977
2,14,0,30,37,-6.3574824448254565
2,14,0,31,37,-6.499775262961881
2,14,0,32,36,-6.8858274618506625
2,14,0,33,36,-7.143330585536638
2,14,0,34,37,-7.532933573907119
2,14,0,35,37,-7.652295721681835
2,14,0,36,37,-7.8108548577272705
2,14,0,37,37,-7.983630650887631
2,14,0,38,37,-8.163408611636793
2,14,0,39,38,-8.402974594345885
2,14,0,40,38,-8.469759725631581
2,14,0,41,38,-8.548050638041584
2,14,0,42,38,-8.619241503427332
2,14,0,43,38,-8.675506179818878
2,14,0,44,38,-8.712335923538744
2,14,0,45,37,-8.761960310352915
2,14,0,45,38,-8.727318004629131
2,15,0,22,40,-4.429014427232542
2,15,0,23,40,-4.489354718715398
2,15,0,24,39,-4.69501341376475
2,15,0,25,39,-4.78136949302895
2,15,0,26,38,-5.011958698792337
2,15,0,27,38,-5.111615617265819
2,15,0,28,38,-5.158403331611709
2,15,0,29,37,-5.730381323737357
2,15,0,30,37,-6.010559045891364
2,15,0,31,37,-6.147375384152065
2,15,0,32,36,-6.518736552872213
2,15,0,33,36,-6.767052778177974
2,15,0,34,37,-7.143365669636062
2,15,0,35,37,-7.258623266164574
2,15,0,36,37,-7.411808225443613
2,15,0,37,37,-7.578813188685634
2,15,0,38,37,-7.752669205072299
2,15,0,39,38,-7.985217107143575
2,15,0,40,38,-8.049956163168837
2,15,0,41,38,-8.1259334692136
2,15,0,42,38,-8.195119679920445
2,15,0,43,38,-8.249909457683572
2,15,0,44,38,-8.28589784730522
2,15,0,45,37,-8.333727584975994
2,15,0,45,38,-8.300677757146053
2,16,0,22,40,-4.165438444243253
2,16,0,23,40,-4.224131403655107
2,16,0,24,39,-4.422657600147175
2,16,0,25,39,-4.505885682808493
2,16,0,26,38,-4.7282546225540045
2,16,0,27,38,-4.8246413886661355
2,16,0,28,38,-4.874238878484924
2,16,0,29,37,-5.421038318721308
2,16,0,30,37,-5.690154770964821
2,16,0,31,37,-5.821478230832441
2,16,0,32,36,-6.178081394754433
2,16,0,33,36,-6.4170414261386
2,16,0,34,37,-6.779645055805253
2,16,0,35,37,-6.890687038862188
2,16,0,36,37,-7.038332509519098
2,16,0,37,37,-7.199366038717289
2,16,0,38,37,-7.3670695040601295
2,16,0,39,38,-7.592045803888839
2,16,0,40,38,-7.654616965768759
2,16,0,41,38,-7.728118529717586
2,16,0,42,38,-7.795129470821816
2,16,0,43,38,-7.8482832320802105
2,16,0,44,38,-7.883294516751902
2,16,0,45,37,-7.929338324391445
2,16,0,45,38,-7.897782757923871
2,17,0,22,40,-3.9267139773744333
2,17,0,23,40,-3.9836387328260088
2,17,0,24,39,-4.174974753503983
2,17,0,25,39,-4.2550844643324846
2,17,0,26,38,-4.469238655447325
2,17,0,27,38,-4.562321585779989
