kper,kstp,time,k,i,j,AWq
4,20,74.0,0,6,20,-2.007022096314927
4,20,74.0,0,7,20,-2.3088444956340766
4,20,74.0,0,8,19,-1.589710721187373
4,20,74.0,0,9,19,-1.6914750677566417
4,20,74.0,0,10,18,-1.3450535107573387
4,20,74.0,0,17,4,-0.7428861266986289
4,20,74.0,0,17,5,-0.9636125360579868
4,20,74.0,0,18,2,-1.024154145563358
4,20,74.0,0,18,3,-1.12348902941104
4,20,74.0,0,18,4,-1.1358233453199773
4,20,74.0,0,18,5,-1.2336484773354357
4,20,74.0,0,18,6,-1.4588095255930114
4,20,74.0,0,18,7,-1.6845498927116935
4,20,74.0,0,18,8,-1.9659001586992204
4,20,74.0,0,19,0,-0.8536524424125531
4,20,74.0,0,19,1,-1.3040830721301049
4,20,74.0,0,19,9,-2.019286038428902
4,20,74.0,0,19,10,-1.9281808843627317
4,20,74.0,0,19,11,-1.9822275492757484
4,20,74.0,0,19,12,-2.2313998580063554
4,20,74.0,0,20,0,-1.4989859595469142
4,20,74.0,0,20,13,-2.2120333787066855
4,20,74.0,0,21,14,-2.019040367009495
4,20,74.0,0,22,14,-1.8497189331791262
4,20,74.0,0,23,15,-1.7274472179291962
4,20,74.0,0,23,16,-1.7332135311197447
4,20,74.0,0,23,17,-2.0091486354696713
4,20,74.0,0,23,22,-2.992764738953376
4,20,74.0,0,24,18,-2.356129503440613
4,20,74.0,0,24,19,-2.4680523105165975
4,20,74.0,0,24,20,-2.799117440138133
4,20,74.0,0,24,21,-3.448225980897611
4,21,75.0,0,0,25,-3.0205698953092224
4,21,75.0,0,0,26,-3.719288593577801
4,21,75.0,0,1,24,-3.898121660204879
4,21,75.0,0,2,22,-2.399854533156372
4,21,75.0,0,2,23,-3.6298591681646144
4,21,75.0,0,3,21,-2.1715531389080525
4,21,75.0,0,4,21,-2.730457625911356
4,21,75.0,0,5,20,-1.8721489348927491
4,21,75.0,0,6,20,-2.0112025312727724
4,21,75.0,0,7,20,-2.320171233218076
4,21,75.0,0,8,19,-1.5970333426728587
4,21,75.0,0,9,19,-1.7026011210748777
4,21,75.0,0,10,18,-1.354806212612246
4,21,75.0,0,17,4,-0.7457821073740902
4,21,75.0,0,17,5,-0.9685934226668067
4,21,75.0,0,18,2,-1.0285632925047352
4,21,75.0,0,18,3,-1.1286426357288377
4,21,75.0,0,18,4,-1.141346555683917
4,21,75.0,0,18,5,-1.2399156940710583
4,21,75.0,0,18,6,-1.4667975753969884
4,21,75.0,0,18,7,-1.6932590285101838
4,21,75.0,0,18,8,-1.9757833791450423
4,21,75.0,0,19,0,-0.8562404338420677
4,21,75.0,0,19,1,-1.3102021118015443
4,21,75.0,0,19,9,-2.028836398353107
4,21,75.0,0,19,10,-1.9371058821723466
4,21,75.0,0,19,11,-1.9914299551236212
4,21,75.0,0,19,12,-2.241858607625467
4,21,75.0,0,20,0,-1.5049476254787848
4,21,75.0,0,20,13,-2.2229946377392977
4,21,75.0,0,21,14,-2.029050501060837
4,21,75.0,0,22,14,-1.8585115525070677
4,21,75.0,0,23,15,-1.7345496010668953
4,21,75.0,0,23,16,-1.7403085576623596
4,21,75.0,0,23,17,-2.01765062350227
4,21,75.0,0,23,22,-3.003301302893206
4,21,75.0,0,24,18,-2.3636212069460782
4,21,75.0,0,24,19,-2.4756396257652966
4,21,75.0,0,24,20,-2.807427049131313
4,21,75.0,0,24,21,-3.4577192855551573
4,22,76.0,0,0,25,-3.01678157837506
