kper,kstp,time,k,i,j,SPq
4,17,71.0,0,13,19,-1.6382615542394774
4,17,71.0,0,13,23,-2.6641190898951663
4,17,71.0,0,13,26,-4.32807552544898
4,17,71.0,0,14,19,-1.8868595681821887
4,17,71.0,0,14,20,-1.8545437639081825
4,17,71.0,0,14,21,-2.0202469565593333
4,17,71.0,0,14,22,-2.36090729155336
4,17,71.0,0,14,26,-3.7542501595397653
4,17,71.0,0,15,27,-4.612608426203991
4,17,71.0,0,16,27,-3.9738918240311705
4,17,71.0,0,17,27,-3.786823367957936
4,17,71.0,0,18,27,-4.025139596938487
4,17,71.0,0,19,25,-2.8135508203386905
4,17,71.0,0,19,26,-3.3324460809156022
4,17,71.0,0,20,24,-2.575300590684094
4,17,71.0,0,21,24,-2.4296439207840024
4,17,71.0,0,22,24,-3.006595634753211
4,17,71.0,0,23,23,-3.3969992034645244
4,18,72.0,0,12,18,-1.7615755818603063
4,18,72.0,0,12,24,-3.335365558621845
4,18,72.0,0,12,25,-4.131227979058195
4,18,72.0,0,13,19,-1.6633226689318548
4,18,72.0,0,13,23,-2.713550532128693
4,18,72.0,0,13,26,-4.389908018439456
4,18,72.0,0,14,19,-1.9104805023533658
4,18,72.0,0,14,20,-1.8829807446616513
4,18,72.0,0,14,21,-2.053909343579903
4,18,72.0,0,14,22,-2.401651637358299
4,18,72.0,0,14,26,-3.8121717154920702
4,18,72.0,0,15,27,-4.6731297436099055
4,18,72.0,0,16,27,-4.026254766049959
4,18,72.0,0,17,27,-3.8340960735811507
4,18,72.0,0,18,27,-4.068921399175622
4,18,72.0,0,19,25,-2.8480596332452137
4,18,72.0,0,19,26,-3.368366344272232
4,18,72.0,0,20,24,-2.603802759800658
4,18,72.0,0,21,24,-2.4523675078703775
4,18,72.0,0,22,24,-3.0273831407860357
4,18,72.0,0,23,23,-3.4174375038145612
4,19,73.0,0,12,18,-1.7821127410876727
4,19,73.0,0,12,24,-3.382464524666176
4,19,73.0,0,12,25,-4.183304240880773
4,19,73.0,0,13,19,-1.6852629165602337
4,19,73.0,0,13,23,-2.755904956601114
4,19,73.0,0,13,26,-4.442001356013009
4,19,73.0,0,14,19,-1.9310362865365391
4,19,73.0,0,14,20,-1.907397746665552
4,19,73.0,0,14,21,-2.0826582872315385
4,19,73.0,0,14,22,-2.4366677817942843
4,19,73.0,0,14,26,-3.860965857690644
4,19,73.0,0,15,27,-4.724714574562398
4,19,73.0,0,16,27,-4.070556768234411
4,19,73.0,0,17,27,-3.8742762145301697
4,19,73.0,0,18,27,-4.106690134287248
4,19,73.0,0,19,25,-2.8781878176324227
4,19,73.0,0,19,26,-3.399572335899947
4,19,73.0,0,20,24,-2.6289323520605876
4,19,73.0,0,21,24,-2.4723787990525636
4,19,73.0,0,22,24,-3.0458959113689943
4,19,73.0,0,23,23,-3.435693709080539
4,20,74.0,0,12,18,-1.8024274130251214
4,20,74.0,0,12,24,-3.4290319700859015
4,20,74.0,0,12,25,-4.23486425059582
4,20,74.0,0,13,19,-1.7068660677579288
4,20,74.0,0,13,23,-2.7976491275748288
4,20,74.0,0,13,26,-4.493513524223289
4,20,74.0,0,14,19,-1.9512395358187575
4,20,74.0,0,14,20,-1.9313450690181497
4,20,74.0,0,14,21,-2.1108787510401186
4,20,74.0,0,14,22,-2.4711420586988595
4,20,74.0,0,14,26,-3.909040916863546
4,20,74.0,0,15,27,-4.775641072344683
4,20,74.0,0,16,27,-4.114197887972296
4,20,74.0,0,17,27,-3.9138227931515814
4,20,74.0,0,18,27,-4.143928175460218
4,20,74.0,0,19,25,-2.9079034737949883
4,20,74.0,0,19,26,-3.4303089004968683
4,20,74.0,0,20,24,-2.653744342488608
4,20,74.0,0,21,24,-2.4921023637871897
4,20,74.0,0,22,24,-3.0642004292681904
