time,spring,awanui,poukawa,pk4,kper,kstp,pk4-spr-diff,pk4-conf-diff
25.0,7.987008370429969,8.668172615996909,7.868576884116037,7.987008370429969,2,24,-0.4427754204299692,4.837623209570031
26.0,7.9865520854831376,8.669085921005236,7.868164522414269,7.9865520854831376,2,25,-0.44998109548313714,4.789105804516862
27.0,7.986047979453414,8.670021680031526,7.867753266182556,7.986047979453414,2,26,-0.457612479453414,4.740636230546587
28.0,7.985480718290687,8.670975913417895,7.8673431046103826,7.985480718290687,2,27,-0.46765089829068707,4.692229811709313
29.0,7.9848488862108615,8.67195164145299,7.866934026492361,7.9848488862108615,2,28,-0.4779697762108617,4.643887953789139
30.0,7.984167630658873,8.672955978798534,7.866526020255227,7.984167630658873,2,29,-0.48601979065887324,4.595595529341128
31.0,7.9834387072472,8.67399503377772,7.866120938246978,7.9834387072472,2,30,-0.4938443772471999,4.5473507627528
32.0,7.982651163208432,8.675049839314367,7.865718744549265,7.982651163208432,2,31,-0.5033968632084322,4.499164626791568
33.0,7.981811652667167,8.676123751633948,7.865319403140083,7.981811652667167,2,32,-0.5119782126671666,4.451030457332832
34.0,7.980935076028281,8.677227703606551,7.864924742183621,7.980935076028281,2,33,-0.5183106960282808,4.4029333439717195
35.0,7.9800034296927205,8.678362087743157,7.864532837579765,7.9800034296927205,2,34,-0.5274419196927207,4.354891310307279
36.0,7.979012499948643,8.679524758374594,7.864143653339189,7.979012499948643,2,35,-0.5372684699486436,4.306908550051357
37.0,7.977980327831221,8.680712318857818,7.86375528920702,7.977980327831221,2,36,-0.5443684078312216,4.258967042168778
38.0,7.976912850850049,8.68191759769999,7.863367732895304,7.976912850850049,2,37,-0.5505840108500486,4.215367849149951
39.0,7.975795604288928,8.683137913816399,7.862980971962308,7.975795604288928,2,38,-0.5590487042889283,4.171818435711073
40.0,7.974653146112315,8.684363637075196,7.8625949938253505,7.974653146112315,2,39,-0.5637712861123152,4.128294223887686
41.0,7.973486142215683,8.685591864831329,7.8622116500357055,7.973486142215683,2,40,-0.5684017622156832,4.084794557784316
42.0,7.972301078471724,8.686826369461127,7.86183090407686,7.972301078471724,2,41,-0.5720434384717237,4.041312961528276
43.0,7.971096531965768,8.688069309443124,7.8614527195132675,7.971096531965768,2,42,-0.5759065019657674,3.997850838034233
