kper,kstp,time,k,i,j,PWq
2,14,15.0,0,36,37,-2.7216808741564904
2,14,15.0,0,37,37,-1.4743944111287774
2,14,15.0,0,38,37,-1.4298281584861954
2,14,15.0,0,39,38,-1.3861975481312925
2,14,15.0,0,40,38,-1.2449034680992241
2,14,15.0,0,41,38,-1.2953494402910195
2,14,15.0,0,42,38,-1.5144320895247425
2,14,15.0,0,43,38,-1.6289603319043096
2,14,15.0,0,44,38,-1.7800165533922687
2,14,15.0,0,45,37,1.2512888632061667
2,14,15.0,0,45,38,-1.9159673333921923
2,15,16.0,0,22,40,-82.71020226550122
2,15,16.0,0,23,40,-48.97187207505441
2,15,16.0,0,24,39,-24.610124959078327
2,15,16.0,0,25,39,-25.544338138217924
2,15,16.0,0,26,38,-92.90913380838262
2,15,16.0,0,27,38,-87.24427886125929
2,15,16.0,0,28,38,-6.50636722933325
2,15,16.0,0,29,37,-61.1989740474051
2,15,16.0,0,30,37,-36.17001021934135
2,15,16.0,0,31,37,-22.437511376811415
2,15,16.0,0,32,36,-33.82640204761435
2,15,16.0,0,33,36,-17.506248351600505
2,15,16.0,0,34,37,-5.433808689521584
2,15,16.0,0,35,37,-3.1924787525943543
2,15,16.0,0,36,37,-2.7213447430790296
2,15,16.0,0,37,37,-1.474671924409904
2,15,16.0,0,38,37,-1.43020785416509
2,15,16.0,0,39,38,-1.3865782453453335
2,15,16.0,0,40,38,-1.2453108444669994
2,15,16.0,0,41,38,-1.2957687116066126
2,15,16.0,0,42,38,-1.5148540707965097
2,15,16.0,0,43,38,-1.629379069814938
2,15,16.0,0,44,38,-1.7804260549378093
2,15,16.0,0,45,37,1.2509286748532134
2,15,16.0,0,45,38,-1.916367788428861
2,16,17.0,0,22,40,-82.12006510769282
2,16,17.0,0,23,40,-48.61755153482656
2,16,17.0,0,24,39,-24.43155329550444
2,16,17.0,0,25,39,-25.51040863011687
2,16,17.0,0,26,38,-92.57508312446558
2,16,17.0,0,27,38,-87.09318966995357
2,16,17.0,0,28,38,-6.46501527937545
2,16,17.0,0,29,37,-61.10822049789749
2,16,17.0,0,30,37,-36.11685393426893
2,16,17.0,0,31,37,-22.40553403472302
2,16,17.0,0,32,36,-33.80986809063921
2,16,17.0,0,33,36,-17.494808713669926
2,16,17.0,0,34,37,-5.428684310793074
2,16,17.0,0,35,37,-3.1901968275030157
2,16,17.0,0,36,37,-2.7210206330786946
2,16,17.0,0,37,37,-1.4749499550173866
2,16,17.0,0,38,37,-1.4305897819611246
2,16,17.0,0,39,38,-1.386959324025426
2,16,17.0,0,40,38,-1.2457178003783937
