kper,kstp,time,k,i,j,SPq
2,20,21.0,0,35,33,-6.584576347709117
2,20,21.0,0,36,32,-2.5576921657221874
2,20,21.0,0,36,33,-3.6125832523906922
2,20,21.0,0,37,32,-2.142520701146445
2,21,22.0,0,33,30,-6.6868712512566475
2,21,22.0,0,33,31,-10.616174356008358
2,21,22.0,0,33,32,-21.907391732628724
2,21,22.0,0,33,33,-30.79394245275938
2,21,22.0,0,34,30,-2.332187498254264
2,21,22.0,0,34,31,-5.558112907735207
2,21,22.0,0,34,33,-12.877719286702899
2,21,22.0,0,35,33,-6.615716293415559
2,21,22.0,0,36,32,-2.5706861414447175
2,21,22.0,0,36,33,-3.6303738831551016
2,21,22.0,0,37,32,-2.1488530010512754
2,22,23.0,0,33,30,-6.700907763706837
2,22,23.0,0,33,31,-10.645023901201228
2,22,23.0,0,33,32,-21.94555917492528
2,22,23.0,0,33,33,-30.83982010336561
2,22,23.0,0,34,30,-2.3430581178098393
2,22,23.0,0,34,31,-5.582374563041029
2,22,23.0,0,34,33,-12.924372485752826
2,22,23.0,0,35,33,-6.650208263913555
2,22,23.0,0,36,32,-2.5850377695232964
2,22,23.0,0,36,33,-3.6500385764274768
2,22,23.0,0,37,32,-2.15584125135193
2,23,24.0,0,33,30,-6.725741809312346
2,23,24.0,0,33,31,-10.698303591300686
2,23,24.0,0,33,32,-22.02110784444315
2,23,24.0,0,33,33,-30.9357585940364
2,23,24.0,0,34,30,-2.3617969900946463
2,23,24.0,0,34,31,-5.625224966819175
2,23,24.0,0,34,33,-13.01034249783487
2,23,24.0,0,35,33,-6.7118885363471605
2,23,24.0,0,36,32,-2.6098033661524624
2,23,24.0,0,36,33,-3.684340777769762
2,23,24.0,0,37,32,-2.167744722090312
2,24,25.0,0,33,30,-6.759177365984016
2,24,25.0,0,33,31,-10.770744990417157
2,24,25.0,0,33,32,-22.125526854619153
2,24,25.0,0,33,33,-31.069900182615328
2,24,25.0,0,34,30,-2.3868313276441384
2,24,25.0,0,34,31,-5.682799375204567
2,24,25.0,0,34,33,-13.126903115340468
2,24,25.0,0,35,33,-6.794970092169521
2,24,25.0,0,36,32,-2.6428887134361716
2,24,25.0,0,36,33,-3.7302896726344414
2,24,25.0,0,37,32,-2.1835951706969716
2,25,26.0,0,33,30,-6.804133077111089
