,time,kper,kstp,sample,flux,package
55,56.0,4,2,spring,-1.704816387562687,GHB_SP
56,57.0,4,3,spring,-1.7346871984195218,GHB_SP
57,58.0,4,4,spring,-1.784580746199488,GHB_SP
58,59.0,4,5,spring,-1.8357224028258727,GHB_SP
59,60.0,4,6,spring,-1.8817346033186055,GHB_SP
60,61.0,4,7,spring,-1.9254855670746025,GHB_SP
61,62.0,4,8,spring,-1.9576786115252602,GHB_SP
62,63.0,4,9,spring,-1.977034907354124,GHB_SP
63,64.0,4,10,spring,-2.0069235978221727,GHB_SP
64,65.0,4,11,spring,-2.0590860987704005,GHB_SP
65,66.0,4,12,spring,-2.0984471188045575,GHB_SP
66,67.0,4,13,spring,-2.1274127486026586,GHB_SP
67,68.0,4,14,spring,-2.1599836450358225,GHB_SP
68,69.0,4,15,spring,-2.2225518535622157,GHB_SP
69,70.0,4,16,spring,-2.2809648231538375,GHB_SP
70,71.0,4,17,spring,-2.33292932415511,GHB_SP
71,72.0,4,18,spring,-2.3880675208501927,GHB_SP
72,73.0,4,19,spring,-2.4391041096123516,GHB_SP
73,74.0,4,20,spring,-2.4901307864078035,GHB_SP
74,75.0,4,21,spring,-2.5246040308692272,GHB_SP
75,76.0,4,22,spring,-2.5577252560484993,GHB_SP
76,77.0,4,23,spring,-2.58718173198983,GHB_SP
77,78.0,4,24,spring,-2.612707385266546,GHB_SP
78,79.0,4,25,spring,-2.6343277616941876,GHB_SP
79,80.0,4,26,spring,-2.6558417912150105,GHB_SP
80,81.0,4,27,spring,-2.6737669989492545,GHB_SP
81,82.0,4,28,spring,-2.6945123829182336,GHB_SP
82,83.0,4,29,spring,-2.7218332559753833,GHB_SP
83,84.0,4,30,spring,-2.7548168767389996,GHB_SP
84,85.0,4,31,spring,-2.7704961561911787,GHB_SP
85,86.0,4,32,spring,-2.7893014303711468,GHB_SP
86,87.0,4,33,spring,-2.818178829517869,GHB_SP
87,88.0,4,34,spring,-2.8474850532869453,GHB_SP
88,89.0,4,35,spring,-2.8748956367084517,GHB_SP
89,90.0,4,36,spring,-2.899262176893295,GHB_SP
90,91.0,4,37,spring,-2.9171214173068236,GHB_SP
91,92.0,4,38,spring,-2.932578946366327,GHB_SP
92,93.0,4,39,spring,-2.939264292752263,GHB_SP
93,94.0,4,40,spring,-2.9433291413408043,GHB_SP
94,95.0,4,41,spring,-2.950885372627063,GHB_SP
95,96.0,4,42,spring,-2.9604586304108906,GHB_SP
96,97.0,4,43,spring,-2.968378186859688,GHB_SP
97,98.0,4,44,spring,-2.9792864268324806,GHB_SP
98,99.0,4,45,spring,-2.993326198995163,GHB_SP
99,100.0,4,46,spring,-2.9931081902301315,GHB_SP
100,101.0,4,47,spring,-2.985966554565934,GHB_SP
101,102.0,4,48,spring,-2.982338391866918,GHB_SP
102,103.0,4,49,spring,-2.970745263407011,GHB_SP
103,104.0,4,50,spring,-2.9573581334214225,GHB_SP
104,105.0,4,51,spring,-2.948316564125612,GHB_SP
105,106.0,4,52,spring,-2.947516130069495,GHB_SP
