,fast,slow,pumping,level_est,level_nat,pct_rfrch
2010-04-12,0.019086050019175415,0.5996236564008189,-0.20309147878411235,-0.36421761724150237,-0.3318239504830882,0.03084815030559641
2010-04-13,0.01142167563176915,0.5956846000629875,-0.19961576192131028,-0.37234533110393797,-0.34342738120832594,0.018813305164237484
2010-04-14,0.006734756774217676,0.5918519241129302,-0.19701298223034486,-0.37826214622058135,-0.3519469760159347,0.011251096940941435
2010-04-15,0.003922493549067569,0.5877499202702473,-0.19527732761982086,-0.3834407586778903,-0.35886124308376766,0.006629502166152065
2010-04-16,0.0022621931288767665,0.5837836449513787,-0.19437015544172387,-0.38816016223885275,-0.3644878188228271,0.003860095886504654
2010-04-17,0.0012942148672531748,0.5802442254146929,-0.19435095010593528,-0.3926483547013735,-0.36899521662113643,0.0022255018372056424
2010-04-18,0.000723680478793899,0.5763548086010536,-0.19510302452273656,-0.3978603803202734,-0.37345516782323507,0.0012540416814839324
2010-04-19,0.0003263257689501507,0.5725738415276749,-0.19621600425129784,-0.4031516818320571,-0.3776334896064575,0.0005696032006588542
2010-04-20,4.200108772861169e-05,0.5688566872803661,-0.19738596613478832,-0.408323122644078,-0.3816349685349879,7.382876527469812e-05
2010-04-21,-9.746813933609056e-17,0.5651951007118109,-0.1984210313353476,-0.41306177550092116,-0.3853385561912718,-1.7245043209564002e-16
2010-04-22,1.949362786721811e-17,0.5619309909046196,-0.19913573478039326,-0.41704058875315797,-0.38860266599846294,3.469043028902262e-17
2010-04-23,0.0,0.5610685293734704,-0.19943622240752817,-0.4182035379114421,-0.38946512752961215,0.0
2010-04-24,-9.746813933609055e-18,0.5631957721136168,-0.19933303667655808,-0.4159731094403256,-0.38733788478946574,-1.7306262611010462e-17
2010-04-25,-2.9240441800827164e-17,0.5651762472729808,-0.19890724688251668,-0.41356684448692027,-0.3853574096301018,-5.173685543565315e-17
2010-04-26,0.0,0.5667195026927201,-0.19838171306664965,-0.4114980552513139,-0.38381415421036247,0.0
2010-04-27,5.3607476634849807e-17,0.5680342234726227,-0.19785159195447935,-0.409653213359241,-0.3824994334304599,9.437367401408606e-17
2010-04-28,3.898725573443622e-17,0.5691907014374927,-0.19726968182838228,-0.4079148252682739,-0.38134295546558983,6.849594632514867e-17
2010-04-29,7.553780798547018e-17,0.570227761743227,-0.19659958523245566,-0.40620766836661293,-0.38030589515985547,1.324695377063819e-16
2010-04-30,9.259473236928602e-17,0.5697846129290642,-0.19576937675318534,-0.4058206087015053,-0.3807490439740182,1.6250830624099997e-16
2010-05-01,0.03338951140727091,0.5695478141848913,-0.1949023512600898,-0.37180087054531197,-0.3475963313109204,0.05537807992643034
2010-05-02,0.050515632098610645,0.5693366881597499,-0.19393106237026592,-0.3539145869892897,-0.330681336644722,0.08149623780960476
2010-05-03,0.04232290521161857,0.5691267863043903,-0.1923667553949754,-0.3607529087563509,-0.33908396538707375,0.06921731386712211
2010-05-04,0.030185832717588824,0.5689102633653497,-0.1898372922882121,-0.370577041082658,-0.3514375608201441,0.05038562747270835
2010-05-05,0.01992990047672557,0.568684379157365,-0.18628121777366968,-0.3775027830169634,-0.3619193772689919,0.03385901627992257
2010-05-06,0.012573109576076156,0.5681020140246853,-0.18183010100234048,-0.38099082227896336,-0.3698585333023211,0.021652571403628265
2010-05-07,0.007697124642103065,0.5675806633906272,-0.17667116938624836,-0.3812292262309025,-0.37525586887035234,0.013379839796048478
2010-05-08,0.004612604746135069,0.567072554567851,-0.17101009965542263,-0.37916078521882085,-0.37884849758909644,0.008068435345899355
2010-05-09,0.002720447722153913,0.5665698860892937,-0.16505956337019242,-0.3756050744361291,-0.3812433230916349,0.004778664875513135
2010-05-10,0.0015847647612499019,0.5660695762200681,-0.1589724060520247,-0.37115390994809094,-0.3828793159217645,0.0027917777542408643
2010-05-11,0.0009141187068768569,0.5652238099499128,-0.15285950127157036,-0.36655741749216497,-0.38439572824629287,0.0016146572427070574
2010-05-12,0.013044111642823809,0.5620246267213426,-0.14680246077735642,-0.35156956729057437,-0.37546491853891617,0.022682699949798928
2010-05-13,0.09854072859955994,0.5558812650604118,-0.14086127945789265,-0.26627513067530517,-0.2961116632431108,0.15057673726467127
2010-05-14,0.13601372003947168,0.5499281297290142,-0.1350717863123707,-0.22896578142126922,-0.26459180713459673,0.1982875371802698
2010-05-15,0.13270503177623402,0.5444540163186218,-0.12945869294679244,-0.23213548972932097,-0.2733746088082267,0.1959732091738141
2010-05-16,0.11908471329649488,0.5392488636725405,-0.12402400706357251,-0.24552627497192148,-0.2922000799340472,0.1808881051529535
2010-05-17,0.09112915350516601,0.5342412044736525,-0.11877017639280604,-0.27323566329137183,-0.325163298924264,0.14572029572954684
2010-05-18,0.062194428735367305,0.5293911867022568,-0.11371150365804207,-0.3019617330978023,-0.35894804146545845,0.10513174612834209
2010-05-19,0.04001304378214616,0.5274441951895463,-0.10883826979504393,-0.32121687570073576,-0.38307641793139,0.0705128792693791
2010-05-20,0.028989461698016212,0.5250433591722228,-0.1041558858872398,-0.32995890989438514,-0.3965008360328436,0.05232444831062795
2010-05-21,0.17992396361778015,0.5225617342158699,-0.09964227493568285,-0.1769924219794171,-0.24804795906943244,0.25612473559623483
2010-05-22,0.2541533855697597,0.520056973476034,-0.09527912251794436,-0.10090460834953507,-0.17632329785728895,0.3282743282885044
2010-05-23,0.2100276336110105,0.5175515116549058,-0.0911092989271583,-0.14336599853862642,-0.22295451163716629,0.2886663739300134
2010-05-24,0.5036618019951828,0.5150561415341667,-0.08714576239438226,0.15173633625758276,0.06818428662626685,0.494407510139898
2010-05-25,0.8851251423819209,0.5125766089761545,-0.08337362042135495,0.5344922860593362,0.44716809445499284,0.6332718274996006
