,66
oname:h_otype:lst_usecol:head_i:0_j:11_kper:4_kstp:25,1e+30
oname:h_otype:lst_usecol:head_i:0_j:11_kper:4_kstp:26,1e+30
oname:h_otype:lst_usecol:head_i:0_j:11_kper:4_kstp:27,1e+30
oname:h_otype:lst_usecol:head_i:0_j:11_kper:4_kstp:28,1e+30
oname:h_otype:lst_usecol:head_i:0_j:11_kper:4_kstp:29,1e+30
oname:h_otype:lst_usecol:head_i:0_j:11_kper:4_kstp:3,1e+30
oname:h_otype:lst_usecol:head_i:0_j:11_kper:4_kstp:30,1e+30
oname:h_otype:lst_usecol:head_i:0_j:11_kper:4_kstp:31,1e+30
oname:h_otype:lst_usecol:head_i:0_j:11_kper:4_kstp:32,1e+30
oname:h_otype:lst_usecol:head_i:0_j:11_kper:4_kstp:33,1e+30
oname:h_otype:lst_usecol:head_i:0_j:11_kper:4_kstp:34,1e+30
oname:h_otype:lst_usecol:head_i:0_j:11_kper:4_kstp:35,1e+30
oname:h_otype:lst_usecol:head_i:0_j:11_kper:4_kstp:36,1e+30
oname:h_otype:lst_usecol:head_i:0_j:11_kper:4_kstp:37,1e+30
oname:h_otype:lst_usecol:head_i:0_j:11_kper:4_kstp:38,1e+30
oname:h_otype:lst_usecol:head_i:0_j:11_kper:4_kstp:39,1e+30
oname:h_otype:lst_usecol:head_i:0_j:11_kper:4_kstp:4,1e+30
oname:h_otype:lst_usecol:head_i:0_j:11_kper:4_kstp:40,1e+30
oname:h_otype:lst_usecol:head_i:0_j:11_kper:4_kstp:41,1e+30
oname:h_otype:lst_usecol:head_i:0_j:11_kper:4_kstp:42,1e+30
oname:h_otype:lst_usecol:head_i:0_j:11_kper:4_kstp:43,1e+30
oname:h_otype:lst_usecol:head_i:0_j:11_kper:4_kstp:44,1e+30
oname:h_otype:lst_usecol:head_i:0_j:11_kper:4_kstp:45,1e+30
oname:h_otype:lst_usecol:head_i:0_j:11_kper:4_kstp:46,1e+30
oname:h_otype:lst_usecol:head_i:0_j:11_kper:4_kstp:47,1e+30
oname:h_otype:lst_usecol:head_i:0_j:11_kper:4_kstp:48,1e+30
oname:h_otype:lst_usecol:head_i:0_j:11_kper:4_kstp:49,1e+30
oname:h_otype:lst_usecol:head_i:0_j:11_kper:4_kstp:5,1e+30
oname:h_otype:lst_usecol:head_i:0_j:11_kper:4_kstp:50,1e+30
oname:h_otype:lst_usecol:head_i:0_j:11_kper:4_kstp:51,1e+30
oname:h_otype:lst_usecol:head_i:0_j:11_kper:4_kstp:6,1e+30
oname:h_otype:lst_usecol:head_i:0_j:11_kper:4_kstp:7,1e+30
oname:h_otype:lst_usecol:head_i:0_j:11_kper:4_kstp:8,1e+30
oname:h_otype:lst_usecol:head_i:0_j:11_kper:4_kstp:9,1e+30
oname:h_otype:lst_usecol:head_i:0_j:12_kper:1_kstp:1,298.075
oname:h_otype:lst_usecol:head_i:0_j:12_kper:2_kstp:1,298.075
oname:h_otype:lst_usecol:head_i:0_j:12_kper:2_kstp:10,298.074
oname:h_otype:lst_usecol:head_i:0_j:12_kper:2_kstp:11,298.074
oname:h_otype:lst_usecol:head_i:0_j:12_kper:2_kstp:12,298.074
oname:h_otype:lst_usecol:head_i:0_j:12_kper:2_kstp:13,298.074
oname:h_otype:lst_usecol:head_i:0_j:12_kper:2_kstp:14,298.074
oname:h_otype:lst_usecol:head_i:0_j:12_kper:2_kstp:15,298.073
oname:h_otype:lst_usecol:head_i:0_j:12_kper:2_kstp:16,298.073
oname:h_otype:lst_usecol:head_i:0_j:12_kper:2_kstp:17,298.073
oname:h_otype:lst_usecol:head_i:0_j:12_kper:2_kstp:18,298.073
oname:h_otype:lst_usecol:head_i:0_j:12_kper:2_kstp:19,298.073
oname:h_otype:lst_usecol:head_i:0_j:12_kper:2_kstp:2,298.075
oname:h_otype:lst_usecol:head_i:0_j:12_kper:2_kstp:20,298.073
oname:h_otype:lst_usecol:head_i:0_j:12_kper:2_kstp:21,298.073
oname:h_otype:lst_usecol:head_i:0_j:12_kper:2_kstp:22,298.073
oname:h_otype:lst_usecol:head_i:0_j:12_kper:2_kstp:23,298.072
oname:h_otype:lst_usecol:head_i:0_j:12_kper:2_kstp:24,298.072
oname:h_otype:lst_usecol:head_i:0_j:12_kper:2_kstp:25,298.072
oname:h_otype:lst_usecol:head_i:0_j:12_kper:2_kstp:26,298.072
oname:h_otype:lst_usecol:head_i:0_j:12_kper:2_kstp:27,298.072
oname:h_otype:lst_usecol:head_i:0_j:12_kper:2_kstp:28,298.072
oname:h_otype:lst_usecol:head_i:0_j:12_kper:2_kstp:29,298.072
oname:h_otype:lst_usecol:head_i:0_j:12_kper:2_kstp:3,298.075
oname:h_otype:lst_usecol:head_i:0_j:12_kper:2_kstp:30,298.071
oname:h_otype:lst_usecol:head_i:0_j:12_kper:2_kstp:31,298.071
oname:h_otype:lst_usecol:head_i:0_j:12_kper:2_kstp:32,298.071
oname:h_otype:lst_usecol:head_i:0_j:12_kper:2_kstp:33,298.071
oname:h_otype:lst_usecol:head_i:0_j:12_kper:2_kstp:34,298.071
