run_id,input_run_id,failed_flag,phi,meas_phi,regul_phi,oname:cum_otype:lst_usecol:chd2,cum,oname:cum_otype:lst_usecol:drn,oname:cum_otype:lst_usecol:in-out,oname:cum_otype:lst_usecol:percent-discrepancy,oname:cum_otype:lst_usecol:rcha,oname:cum_otype:lst_usecol:total,oname:cum_otype:lst_usecol:wel2,oname:cum_otype:lst_usecol:wel3,oname:cum_otype:lst_usecol:wel,oname:springobs_otype:lst_usecol:pk2_head,oname:springobs_otype:lst_usecol:pk4_head,oname:springobs_otype:lst_usecol:pk4_pk2_diff,oname:springobs_otype:lst_usecol:spring_flux,springobs,oname:springobs_otype:lst_usecol:spring_pk2_diff,oname:springobs_otype:lst_usecol:spring_pk4_diff,oname:cum_otype:lst_usecol:chd2_totim:1,oname:cum_otype:lst_usecol:chd_totim:1,oname:cum_otype:lst_usecol:drn_totim:1,oname:cum_otype:lst_usecol:in-out_totim:1,oname:cum_otype:lst_usecol:percent-discrepancy_totim:1,oname:cum_otype:lst_usecol:rcha_totim:1,oname:cum_otype:lst_usecol:total_totim:1,oname:cum_otype:lst_usecol:wel2_totim:1,oname:cum_otype:lst_usecol:wel3_totim:1,oname:cum_otype:lst_usecol:wel_totim:1,oname:springobs_otype:lst_usecol:pk2_head_kper:0,oname:springobs_otype:lst_usecol:pk4_head_kper:0,oname:springobs_otype:lst_usecol:pk4_pk2_diff_kper:0,oname:springobs_otype:lst_usecol:spring_flux_kper:0,oname:springobs_otype:lst_usecol:spring_head_kper:0,oname:springobs_otype:lst_usecol:spring_pk2_diff_kper:0,oname:springobs_otype:lst_usecol:spring_pk4_diff_kper:0
196,196,0,503.244614838043,503.244614838043,0,0,0,10.6064299289151,0,0,3.89456718483101,0,0.751634605404077,0,1.3197849798791,1.88440934293134,0.560791095231475,21.3802480988058,99.99999998,136.668945377732,106.457234234949,119.720570009364,134.5667,149.4117,-2696.51,-86.9428,-3.04,94.9954,-86.94287,2043.497,2.82,184.2765,7.46272620996959,7.72511401364531,0.262387803675722,0,6.48094505955566,-0.981781150413928,-1.24416895408965
197,197,0,18065.2404527483,18065.2404527483,0,0,0,10.4044071957651,0,0,3.91363369804836,0,6.82122874377918,0,7095.77141853615,1587.8349306411,1254.15772352773,0.187971803780951,5142.78947699754,0.630027660005398,1651.7225246731,1311.0071092713,147.3526,-598.97833,-3886.0178,-35.1165,-0.75,94.658,-35.1167,601.5304,2.82,3603.5186,11.5847646488106,11.3414089336417,-0.243355715168931,-24.5139734364052,7.57062571827063,-4.01413893054002,-3.77078321537109
198,198,0,4449.14532979139,4449.14532979139,0,0,0,10.3991517038335,0,0,6.89668236313146,0,0.977765921891021,0,1712.12691088285,632.809576634757,653.066282171489,19.3552035475853,99.99999998,0.0730852604331054,646.483993111349,666.956678214066,32.839504,-342.83612,-3917.1155,-25.0598,-0.56,416.6471,-25.05957,1942.793,2.82,1839.7924,10.1155706641531,10.3555161556357,0.239945491482585,0,7.6229657142811,-2.49260494987198,-2.73255044135456
199,199,0,34796.5697881288,34796.5697881288,0,0,0,10.6969513407677,0,0,2.42681823212103,0,9.85867127895115,0,1609.48277619254,277.096197396938,155.672182638275,0.0286763061607516,31205.2914532871,137.09002443815,803.991939971004,584.93409704684,274.0533,-216.28018,-2167.198,-29.5015,-1.13,124.0612,-29.501465,165.0809,2.82,1787.9613,9.26462066969306,9.04768658980641,-0.216934079886652,-55.9950585560346,6.47914550674241,-2.78547516295065,-2.568541083064
200,200,0,52237.4498095114,52237.4498095114,0,0,0,10.4399901976192,0,0,4.45332223807395,0,8.13103934411612,0,7534.27180355356,1769.04731074693,1492.81816755775,0.332884047682094,38039.7333755045,0.506282416519425,1829.40800143626,1548.30763246839,98.7596,-721.7157,-3675.673,-97.9676,-2.18,85.4273,-97.967285,403.3903,2.82,3709.024,11.8060044112518,11.6637005157721,-0.142303895479669,-61.5113322740144,7.5788464746819,-4.22715793656987,-4.0848540410902
201,201,0,2014.57407048572,2014.57407048572,0,0,0,10.6501999031212,0,0,6.7955623360804,0,6.07745640383255,0,1053.23600367345,186.491343416019,148.831252839872,6.46917943482496,99.99999998,7.22720873318447,267.143666811682,221.652196953659,226.0923,-104.38501,-2440.29,-69.9161,-2.51,50.7042,-69.916016,722.6035,2.82,1472.539,8.96561833400119,9.01996415045637,0.0543458164551751,0,7.38116531598054,-1.58445301802065,-1.63879883447583
202,202,0,2344.85141160907,2344.85141160907,0,0,0,10.7307737633099,0,0,4.38388583615907,0,8.3935864936427,0,444.664153848216,20.2072846745223,10.046618697927,28.3621345944703,1118.49354017852,313.594897068094,174.592868478191,211.381667976016,330.7538,152.4065,-1970.0009,-27.0124,-1.22,86.5823,-27.012207,365.6457,2.82,1004.7803,7.15047486527979,7.48303598472497,0.33256111944518,-13.0331659328549,5.87913891829965,-1.27133594698014,-1.60389706642532
203,203,0,10630.5091925513,10630.5091925513,0,0,0,10.4230960553174,0,0,0.722039169506055,0,2.60941699646879,0,4521.69410209027,2124.23545342188,1969.58065839827,5.2465229961521,99.99999998,284.246619487774,854.382016116333,757.369267839371,-2.0510979,-771.2297,-3775.496,-43.1704,-0.93,173.5784,-43.16992,1424.9843,2.82,2904.224,12.2089428868471,12.2379957845837,0.0290528977365732,0,9.33596150456579,-2.87298138228134,-2.90203428001791
204,204,0,3510.61365016699,3510.61365016699,0,0,0,10.5442262350345,0,0,4.94876667642317,0,4.36689517719094,0,2069.36317896095,212.075205325723,240.823002485623,24.5586733955569,99.99999998,26.7071768266932,389.30055393498,427.925971168819,165.0472,-254.49352,-3061.5483,-28.7477,-0.81,77.4348,-28.747803,1032.9655,2.82,2009.0269,9.05628021110541,9.35184729430966,0.295567083204251,0,7.13321013142,-1.92307007968541,-2.21863716288966
205,205,0,7403.57939354843,7403.57939354843,0,0,0,10.5373157001228,0,0,7.70140723686408,0,8.85072373457536,0,4388.52079841534,576.665865270899,629.23907921767,25.712709661995,99.99999998,16.6373239880733,789.202927220763,850.51124312213,215.9293,-379.0965,-3102.1687,-59.1037,-1.6,38.9342,-59.10376,301.3086,2.82,2863.1692,10.001386818634,10.3084638311478,0.30707701251383,0,7.2421112408012,-2.75927557783277,-3.0663525903466
