kper,kstp,k,i,j,CONFq
1,1,0,13,29,4.056185466476009
1,1,0,13,30,4.061440242084453
1,1,0,13,31,4.0669808481372804
1,1,0,13,32,4.0727756754040385
1,1,0,13,33,4.078793323217782
1,1,0,13,34,4.0850048377355765
1,1,0,13,35,4.091387537488011
1,1,0,13,36,4.097930472225158
1,1,0,13,37,4.1046404813598585
1,1,0,13,38,4.11154563793338
1,1,0,13,39,4.118688445505713
1,1,0,13,40,4.126088457130171
1,1,0,13,41,4.133598721039791
1,1,0,13,42,4.140297663957254
1,1,0,13,43,4.141998649353965
1,1,0,13,44,4.14444293119892
1,1,0,13,45,4.147022383702026
1,1,0,13,46,4.149010178728322
1,1,0,13,47,4.152280099606719
1,1,0,13,48,4.155751936799268
1,1,0,13,49,4.159643044604461
1,1,0,13,50,4.164370084420401
1,1,0,13,51,4.168921388566702
1,1,0,13,52,4.176740291513699
1,1,0,13,53,4.179988395264795
1,1,0,13,54,4.181689306130057
1,1,0,13,55,4.182532569510402
1,1,0,14,7,4.0134061404586365
1,1,0,14,8,4.018960830957859
1,1,0,14,9,4.025605703790655
1,1,0,14,10,4.034599437869117
1,1,0,14,11,4.036097350297098
1,1,0,14,12,4.032565037989542
1,1,0,14,13,4.031212917879593
1,1,0,14,14,4.029927015024146
1,1,0,14,15,4.030325337591179
1,1,0,14,16,4.031389813554707
1,1,0,14,17,4.0324375556017085
1,1,0,14,18,4.033273124478967
1,1,0,14,19,4.034319152257856
1,1,0,14,20,4.035762121058724
1,1,0,14,21,4.037630275064016
1,1,0,14,22,4.039942618575859
1,1,0,14,23,4.042715892992563
1,1,0,14,24,4.045955555107643
1,1,0,14,25,4.04965410806604
1,1,0,14,26,4.0537936405167745
1,1,0,14,27,4.05834914719928
1,1,0,14,28,4.063291245434796
1,1,0,14,29,4.068587844168361
1,1,0,14,30,4.0742048144451495
1,1,0,14,31,4.080105994476536
1,1,0,14,32,4.086253082710414
1,1,0,14,33,4.092606181136741
1,1,0,14,34,4.099125945137837
1,1,0,14,35,4.105778458749656
1,1,0,14,36,4.112543881459025
1,1,0,14,37,4.119429100550109
1,1,0,14,38,4.126482702044372
1,1,0,14,39,4.13380961426652
1,1,0,14,40,4.141593905934622
1,1,0,14,41,4.150209858506571
1,1,0,14,42,4.154839270594907
1,1,0,14,43,4.155880182739825
1,1,0,14,44,4.157142197134055
1,1,0,14,45,4.158805335425443
1,1,0,14,46,4.160795482231402
1,1,0,14,47,4.163392999666318
1,1,0,14,48,4.166885019826724
1,1,0,14,49,4.170207981006882
1,1,0,14,50,4.176466853914604
1,1,0,14,51,4.177620908560597
1,1,0,14,52,4.173693852955324
1,1,0,14,53,4.173250998302729
1,1,0,14,54,4.173479547369663
1,1,0,14,55,4.1736990847381765
1,1,0,15,6,4.004749493949328
1,1,0,15,7,4.00916067673492
1,1,0,15,8,4.014249874359113
1,1,0,15,9,4.0200411652208885
1,1,0,15,10,4.0263092511545775
