kper,kstp,time,k,i,j,PWq
2,15,16.0,0,29,37,-12.163184757006775
2,15,16.0,0,30,37,-6.936477254441797
2,15,16.0,0,31,37,1.2162713076678529
2,15,16.0,0,32,36,-6.261431817850166
2,15,16.0,0,33,36,-2.8006767292147288
2,15,16.0,0,34,37,-5.738784185365944
2,15,16.0,0,35,37,-3.2662044653965268
2,15,16.0,0,36,37,-6.041926693834853
2,15,16.0,0,37,37,-5.90506100289349
2,15,16.0,0,38,37,-9.141840353619273
2,15,16.0,0,39,38,-5.081060362182029
2,15,16.0,0,40,38,-6.332962154427491
2,15,16.0,0,41,38,-7.239207361871877
2,15,16.0,0,42,38,-7.94637424841369
2,15,16.0,0,43,38,-8.01818460350978
2,15,16.0,0,44,38,-7.874685278611651
2,15,16.0,0,45,37,-5.001287004840378
2,15,16.0,0,45,38,-6.817691511743988
2,16,17.0,0,22,40,-9.634499118244321
2,16,17.0,0,23,40,-9.556548640728693
2,16,17.0,0,24,39,-9.5380088409363
2,16,17.0,0,25,39,-2.6716268765914037
2,16,17.0,0,26,38,-2.7400618372153076
2,16,17.0,0,27,38,-19.40160335382427
2,16,17.0,0,28,38,12.304260008333358
2,16,17.0,0,29,37,-12.09006544610611
2,16,17.0,0,30,37,-6.8221024778932815
2,16,17.0,0,31,37,1.3360390169187895
2,16,17.0,0,32,36,-6.172125046105634
2,16,17.0,0,33,36,-2.713150063390117
2,16,17.0,0,34,37,-5.630347155740992
2,16,17.0,0,35,37,-3.138680938148582
2,16,17.0,0,36,37,-5.913792882951498
2,16,17.0,0,37,37,-5.776957353701732
2,16,17.0,0,38,37,-9.016035249804531
2,16,17.0,0,39,38,-4.950864796561518
2,16,17.0,0,40,38,-6.202794327869242
2,16,17.0,0,41,38,-7.10904034842747
2,16,17.0,0,42,38,-7.816207919930207
2,16,17.0,0,43,38,-7.8880175896741775
2,16,17.0,0,44,38,-7.744483012042679
2,16,17.0,0,45,37,-4.8728767335255725
2,16,17.0,0,45,38,-6.685734006779285
2,17,18.0,0,22,40,-9.458391696183185
2,17,18.0,0,23,40,-9.380473633724819
2,17,18.0,0,24,39,-9.361942577996274
2,17,18.0,0,25,39,-2.5342746283427005
2,17,18.0,0,26,38,-2.6027158207381262
2,17,18.0,0,27,38,-19.287801772661965
2,17,18.0,0,28,38,12.320902961375964
2,17,18.0,0,29,37,-12.025423177006928
2,17,18.0,0,30,37,-6.713086226332052
2,17,18.0,0,31,37,1.4570254130563853
2,17,18.0,0,32,36,-6.076385976785446
2,17,18.0,0,33,36,-2.618987633375241
2,17,18.0,0,34,37,-5.515999908359731
2,17,18.0,0,35,37,-3.005945165801222
2,17,18.0,0,36,37,-5.780403151779524
2,17,18.0,0,37,37,-5.643600857749902
2,17,18.0,0,38,37,-8.885021287601035
2,17,18.0,0,39,38,-4.81536156036907
2,17,18.0,0,40,38,-6.067323154263704
2,17,18.0,0,41,38,-6.9735700447362206
2,17,18.0,0,42,38,-7.680738232586805
2,17,18.0,0,43,38,-7.752547157857634
2,17,18.0,0,44,38,-7.608972591785687
2,17,18.0,0,45,37,-4.739203677032265
2,17,18.0,0,45,38,-6.548427663619464
2,18,19.0,0,22,40,-9.294704508564564
2,18,19.0,0,23,40,-9.216822857751822
2,18,19.0,0,24,39,-9.19830051490726
2,18,19.0,0,25,39,-2.4101562014756155
2,18,19.0,0,26,38,-2.4786039593981286
